 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國107年底 ,,,,,,,,,,,,,, 中華民國107年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,588,932 "," 170,572 "," 838,407 "," 197,260 "," 210,485 "," 216,231 "," 214,431 "," 1,000,580 "," 1,038,668 "," 1,318,265 "," 1,553,109 "," 1,597,391 "," 1,652,938 "," 2,013,902 "," 1,914,048 "," 1,795,250 "," 1,824,194 "," 1,818,291 "," 1,619,800 "," 1,308,576 "," 729,554 "," 605,485 "," 410,054 "," 247,734 "," 104,766 "," 23,848 "," 3,500 "
 總　　計 , 男 ," 11,712,913 "," 88,146 "," 434,244 "," 102,220 "," 109,010 "," 112,362 "," 110,652 "," 519,411 "," 542,920 "," 687,961 "," 806,031 "," 829,259 "," 837,430 "," 996,693 "," 941,853 "," 882,891 "," 900,275 "," 890,359 "," 782,721 "," 622,955 "," 339,426 "," 268,919 "," 171,621 "," 109,888 "," 48,077 "," 10,265 "," 1,568 "
, 女 ," 11,876,019 "," 82,426 "," 404,163 "," 95,040 "," 101,475 "," 103,869 "," 103,779 "," 481,169 "," 495,748 "," 630,304 "," 747,078 "," 768,132 "," 815,508 "," 1,017,209 "," 972,195 "," 912,359 "," 923,919 "," 927,932 "," 837,079 "," 685,621 "," 390,128 "," 336,566 "," 238,433 "," 137,846 "," 56,689 "," 13,583 "," 1,932 "
, 計 ," 3,995,717 "," 26,920 "," 129,595 "," 30,857 "," 32,319 "," 32,997 "," 33,422 "," 166,302 "," 167,105 "," 215,440 "," 258,854 "," 276,502 "," 281,478 "," 347,077 "," 338,573 "," 314,488 "," 318,551 "," 323,226 "," 291,901 "," 232,421 "," 119,084 "," 87,074 "," 51,691 "," 30,757 "," 14,270 "," 3,769 ", 639 
 新 北 市 , 男 ," 1,954,968 "," 13,895 "," 66,900 "," 15,887 "," 16,702 "," 17,153 "," 17,158 "," 86,242 "," 87,221 "," 112,349 "," 134,055 "," 144,001 "," 141,796 "," 170,579 "," 165,125 "," 151,945 "," 149,896 "," 150,505 "," 134,754 "," 107,766 "," 55,162 "," 38,208 "," 21,195 "," 14,276 "," 6,912 "," 1,857 ", 329 
, 女 ," 2,040,749 "," 13,025 "," 62,695 "," 14,970 "," 15,617 "," 15,844 "," 16,264 "," 80,060 "," 79,884 "," 103,091 "," 124,799 "," 132,501 "," 139,682 "," 176,498 "," 173,448 "," 162,543 "," 168,655 "," 172,721 "," 157,147 "," 124,655 "," 63,922 "," 48,866 "," 30,496 "," 16,481 "," 7,358 "," 1,912 ", 310 
, 計 ," 2,668,572 "," 21,561 "," 115,467 "," 26,364 "," 29,136 "," 30,254 "," 29,713 "," 116,507 "," 110,122 "," 125,483 "," 143,954 "," 152,022 "," 180,768 "," 234,849 "," 216,371 "," 199,301 "," 198,421 "," 200,265 "," 194,846 "," 172,292 "," 99,973 "," 77,592 "," 51,509 "," 34,511 "," 17,189 "," 4,767 ", 802 
 臺 北 市 , 男 ," 1,273,375 "," 11,079 "," 59,507 "," 13,557 "," 15,074 "," 15,670 "," 15,206 "," 60,340 "," 57,655 "," 65,202 "," 74,229 "," 76,970 "," 85,513 "," 110,165 "," 100,864 "," 92,317 "," 91,871 "," 92,669 "," 90,190 "," 78,925 "," 45,330 "," 33,280 "," 20,710 "," 15,681 "," 8,206 "," 2,283 ", 389 
