 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國107年底 ,,,,,,,,,,,,,, 中華民國107年底 ,,,,,,,,   單位：人 
, 女 ," 1,395,197 "," 10,482 "," 55,960 "," 12,807 "," 14,062 "," 14,584 "," 14,507 "," 56,167 "," 52,467 "," 60,281 "," 69,725 "," 75,052 "," 95,255 "," 124,684 "," 115,507 "," 106,984 "," 106,550 "," 107,596 "," 104,656 "," 93,367 "," 54,643 "," 44,312 "," 30,799 "," 18,830 "," 8,983 "," 2,484 ", 413 
, 計 ," 2,220,872 "," 21,230 "," 95,811 "," 23,879 "," 24,831 "," 23,897 "," 23,204 "," 107,324 "," 110,059 "," 136,278 "," 154,612 "," 159,369 "," 167,136 "," 204,187 "," 186,199 "," 170,671 "," 165,996 "," 156,218 "," 132,569 "," 103,298 "," 53,945 "," 41,161 "," 26,266 "," 18,034 "," 8,457 "," 1,789 ", 263 
 桃 園 市 , 男 ," 1,104,073 "," 11,043 "," 49,758 "," 12,386 "," 12,832 "," 12,408 "," 12,132 "," 55,717 "," 57,777 "," 71,272 "," 80,255 "," 82,003 "," 83,636 "," 100,208 "," 91,638 "," 83,628 "," 80,983 "," 75,752 "," 63,241 "," 48,202 "," 24,612 "," 17,795 "," 10,839 "," 9,836 "," 4,878 ", 872 , 128 
, 女 ," 1,116,799 "," 10,187 "," 46,053 "," 11,493 "," 11,999 "," 11,489 "," 11,072 "," 51,607 "," 52,282 "," 65,006 "," 74,357 "," 77,366 "," 83,500 "," 103,979 "," 94,561 "," 87,043 "," 85,013 "," 80,466 "," 69,328 "," 55,096 "," 29,333 "," 23,366 "," 15,427 "," 8,198 "," 3,579 ", 917 , 135 
, 計 ," 2,803,894 "," 21,801 "," 115,228 "," 26,270 "," 28,791 "," 30,191 "," 29,976 "," 133,669 "," 134,798 "," 169,060 "," 197,168 "," 201,005 "," 208,118 "," 248,269 "," 228,155 "," 212,054 "," 213,411 "," 204,887 "," 175,419 "," 137,374 "," 73,465 "," 58,302 "," 37,723 "," 22,421 "," 9,369 "," 1,917 ", 281 
 臺 中 市 , 男 ," 1,380,106 "," 11,212 "," 59,890 "," 13,758 "," 14,968 "," 15,737 "," 15,427 "," 69,393 "," 70,009 "," 87,748 "," 102,226 "," 103,220 "," 104,212 "," 121,673 "," 110,139 "," 100,718 "," 101,684 "," 97,878 "," 83,602 "," 65,149 "," 33,980 "," 25,756 "," 15,762 "," 10,234 "," 4,651 ", 850 , 120 
, 女 ," 1,423,788 "," 10,589 "," 55,338 "," 12,512 "," 13,823 "," 14,454 "," 14,549 "," 64,276 "," 64,789 "," 81,312 "," 94,942 "," 97,785 "," 103,906 "," 126,596 "," 118,016 "," 111,336 "," 111,727 "," 107,009 "," 91,817 "," 72,225 "," 39,485 "," 32,546 "," 21,961 "," 12,187 "," 4,718 "," 1,067 ", 161 
, 計 ," 1,883,831 "," 11,725 "," 63,217 "," 14,307 "," 15,484 "," 16,967 "," 16,459 "," 76,564 "," 78,998 "," 99,786 "," 119,621 "," 126,610 "," 134,717 "," 162,581 "," 151,866 "," 140,035 "," 148,507 "," 152,721 "," 133,629 "," 104,586 "," 58,219 "," 50,456 "," 37,359 "," 22,177 "," 8,541 "," 1,694 ", 222 
 臺 南 市 , 男 ," 939,967 "," 6,055 "," 32,756 "," 7,397 "," 8,131 "," 8,776 "," 8,452 "," 39,732 "," 41,085 "," 52,044 "," 62,306 "," 65,581 "," 68,780 "," 81,333 "," 75,636 "," 68,657 "," 73,515 "," 76,045 "," 66,428 "," 51,326 "," 27,218 "," 22,438 "," 15,625 "," 9,234 "," 3,486 ", 603 , 84 
, 女 ," 943,864 "," 5,670 "," 30,461 "," 6,910 "," 7,353 "," 8,191 "," 8,007 "," 36,832 "," 37,913 "," 47,742 "," 57,315 "," 61,029 "," 65,937 "," 81,248 "," 76,230 "," 71,378 "," 74,992 "," 76,676 "," 67,201 "," 53,260 "," 31,001 "," 28,018 "," 21,734 "," 12,943 "," 5,055 "," 1,091 ", 138 
, 計 ," 2,773,533 "," 18,930 "," 89,044 "," 20,806 "," 22,072 "," 23,156 "," 23,010 "," 108,708 "," 115,310 "," 150,488 "," 178,679 "," 185,012 "," 190,984 "," 234,676 "," 232,804 "," 218,796 "," 218,091 "," 215,731 "," 199,844 "," 167,998 "," 92,446 "," 72,189 "," 45,416 "," 25,615 "," 10,451 "," 2,072 ", 249 
 高 雄 市 , 男 ," 1,371,957 "," 9,855 "," 46,284 "," 10,849 "," 11,408 "," 12,055 "," 11,972 "," 56,191 "," 60,167 "," 78,174 "," 92,538 "," 95,938 "," 97,395 "," 116,269 "," 114,320 "," 107,540 "," 107,917 "," 104,271 "," 94,496 "," 78,576 "," 42,763 "," 32,062 "," 18,981 "," 11,943 "," 5,230 ", 936 , 111 
, 女 ," 1,401,576 "," 9,075 "," 42,760 "," 9,957 "," 10,664 "," 11,101 "," 11,038 "," 52,517 "," 55,143 "," 72,314 "," 86,141 "," 89,074 "," 93,589 "," 118,407 "," 118,484 "," 111,256 "," 110,174 "," 111,460 "," 105,348 "," 89,422 "," 49,683 "," 40,127 "," 26,435 "," 13,672 "," 5,221 "," 1,136 ", 138 
, 計 ," 7,090,184 "," 47,184 "," 225,255 "," 53,508 "," 56,582 "," 57,599 "," 57,566 "," 287,148 "," 318,043 "," 414,252 "," 487,727 "," 484,458 "," 478,301 "," 570,821 "," 549,191 "," 528,041 "," 547,435 "," 551,138 "," 479,040 "," 383,273 "," 228,458 "," 215,576 "," 157,586 "," 92,774 "," 35,868 "," 7,628 ", 987 
 臺 灣 省 , 男 ," 3,611,525 "," 24,376 "," 116,652 "," 27,724 "," 29,220 "," 29,953 "," 29,755 "," 149,512 "," 166,777 "," 217,316 "," 254,236 "," 255,235 "," 250,356 "," 290,803 "," 278,829 "," 271,967 "," 287,420 "," 285,969 "," 243,487 "," 189,260 "," 108,319 "," 97,842 "," 67,297 "," 38,119 "," 14,555 "," 2,801 ", 397 
, 女 ," 3,478,659 "," 22,808 "," 108,603 "," 25,784 "," 27,362 "," 27,646 "," 27,811 "," 137,636 "," 151,266 "," 196,936 "," 233,491 "," 229,223 "," 227,945 "," 280,018 "," 270,362 "," 256,074 "," 260,015 "," 265,169 "," 235,553 "," 194,013 "," 120,139 "," 117,734 "," 90,289 "," 54,655 "," 21,313 "," 4,827 ", 590 
, 計 ," 455,221 "," 2,871 "," 13,909 "," 3,308 "," 3,573 "," 3,519 "," 3,509 "," 18,046 "," 19,537 "," 25,713 "," 32,467 "," 32,834 "," 30,256 "," 34,627 "," 33,784 "," 34,473 "," 36,180 "," 36,444 "," 31,436 "," 24,316 "," 14,023 "," 14,807 "," 10,599 "," 6,008 "," 2,331 ", 489 , 71 
 宜 蘭 縣 , 男 ," 230,027 "," 1,483 "," 7,226 "," 1,708 "," 1,863 "," 1,822 "," 1,833 "," 9,399 "," 10,122 "," 13,465 "," 16,884 "," 17,286 "," 15,830 "," 17,585 "," 16,915 "," 17,533 "," 18,512 "," 18,439 "," 15,698 "," 11,888 "," 6,702 "," 6,780 "," 4,590 "," 2,538 ", 965 , 161 , 26 
, 女 ," 225,194 "," 1,388 "," 6,683 "," 1,600 "," 1,710 "," 1,697 "," 1,676 "," 8,647 "," 9,415 "," 12,248 "," 15,583 "," 15,548 "," 14,426 "," 17,042 "," 16,869 "," 16,940 "," 17,668 "," 18,005 "," 15,738 "," 12,428 "," 7,321 "," 8,027 "," 6,009 "," 3,470 "," 1,366 ", 328 , 45 
, 計 ," 557,010 "," 4,368 "," 24,176 "," 5,337 "," 6,001 "," 6,281 "," 6,557 "," 31,748 "," 30,496 "," 34,499 "," 37,853 "," 36,511 "," 36,994 "," 50,013 "," 49,532 "," 44,374 "," 40,366 "," 37,402 "," 30,162 "," 22,874 "," 13,551 "," 13,553 "," 9,806 "," 5,740 "," 2,435 ", 488 , 69 
 新 竹 縣 , 男 ," 284,385 "," 2,296 "," 12,561 "," 2,762 "," 3,136 "," 3,311 "," 3,352 "," 16,412 "," 15,972 "," 18,139 "," 19,736 "," 19,355 "," 19,017 "," 24,662 "," 24,586 "," 22,801 "," 20,986 "," 19,582 "," 15,559 "," 11,373 "," 6,570 "," 6,383 "," 4,455 "," 2,649 "," 1,074 ", 192 , 25 
, 女 ," 272,625 "," 2,072 "," 11,615 "," 2,575 "," 2,865 "," 2,970 "," 3,205 "," 15,336 "," 14,524 "," 16,360 "," 18,117 "," 17,156 "," 17,977 "," 25,351 "," 24,946 "," 21,573 "," 19,380 "," 17,820 "," 14,603 "," 11,501 "," 6,981 "," 7,170 "," 5,351 "," 3,091 "," 1,361 ", 296 , 44 
, 計 ," 548,863 "," 3,174 "," 17,403 "," 3,784 "," 4,254 "," 4,724 "," 4,641 "," 23,217 "," 25,052 "," 31,975 "," 37,332 "," 38,647 "," 37,994 "," 45,348 "," 40,916 "," 39,880 "," 40,792 "," 42,864 "," 36,580 "," 28,570 "," 17,456 "," 17,134 "," 12,856 "," 7,821 "," 3,114 ", 662 , 76 
 苗 栗 縣 , 男 ," 283,174 "," 1,589 "," 8,929 "," 1,963 "," 2,167 "," 2,431 "," 2,368 "," 12,048 "," 13,246 "," 16,924 "," 19,571 "," 20,529 "," 20,110 "," 23,364 "," 21,073 "," 21,002 "," 21,623 "," 22,476 "," 19,069 "," 14,296 "," 8,462 "," 8,150 "," 5,860 "," 3,354 "," 1,238 ", 237 , 24 
, 女 ," 265,689 "," 1,585 "," 8,474 "," 1,821 "," 2,087 "," 2,293 "," 2,273 "," 11,169 "," 11,806 "," 15,051 "," 17,761 "," 18,118 "," 17,884 "," 21,984 "," 19,843 "," 18,878 "," 19,169 "," 20,388 "," 17,511 "," 14,274 "," 8,994 "," 8,984 "," 6,996 "," 4,467 "," 1,876 ", 425 , 52 
, 計 ," 1,277,824 "," 11,015 "," 44,918 "," 11,588 "," 11,584 "," 11,022 "," 10,724 "," 51,982 "," 58,514 "," 76,987 "," 88,373 "," 91,719 "," 94,375 "," 107,374 "," 97,862 "," 88,077 "," 92,289 "," 94,738 "," 83,498 "," 66,927 "," 39,700 "," 37,347 "," 28,109 "," 16,550 "," 6,035 "," 1,314 ", 121 
 彰 化 縣 , 男 ," 650,677 "," 5,621 "," 23,361 "," 6,022 "," 5,991 "," 5,766 "," 5,582 "," 27,126 "," 30,794 "," 40,463 "," 46,030 "," 47,924 "," 49,004 "," 54,796 "," 50,342 "," 45,573 "," 47,899 "," 48,866 "," 42,517 "," 33,250 "," 19,157 "," 17,235 "," 11,876 "," 6,355 "," 2,061 ", 393 , 34 
, 女 ," 627,147 "," 5,394 "," 21,557 "," 5,566 "," 5,593 "," 5,256 "," 5,142 "," 24,856 "," 27,720 "," 36,524 "," 42,343 "," 43,795 "," 45,371 "," 52,578 "," 47,520 "," 42,504 "," 44,390 "," 45,872 "," 40,981 "," 33,677 "," 20,543 "," 20,112 "," 16,233 "," 10,195 "," 3,974 ", 921 , 87 
, 計 ," 497,031 "," 2,957 "," 12,664 "," 3,161 "," 3,251 "," 3,101 "," 3,151 "," 17,453 "," 20,799 "," 28,613 "," 34,959 "," 34,804 "," 32,895 "," 37,503 "," 34,890 "," 35,930 "," 39,848 "," 41,969 "," 36,382 "," 28,884 "," 17,248 "," 16,466 "," 12,107 "," 7,273 "," 2,739 ", 576 , 72 
 南 投 縣 , 男 ," 254,549 "," 1,564 "," 6,585 "," 1,625 "," 1,716 "," 1,582 "," 1,662 "," 9,098 "," 10,762 "," 14,950 "," 17,991 "," 18,635 "," 17,686 "," 19,711 "," 17,918 "," 18,448 "," 20,824 "," 21,691 "," 18,683 "," 14,559 "," 8,276 "," 7,528 "," 5,315 "," 2,979 "," 1,122 ", 201 , 23 
, 女 ," 242,482 "," 1,393 "," 6,079 "," 1,536 "," 1,535 "," 1,519 "," 1,489 "," 8,355 "," 10,037 "," 13,663 "," 16,968 "," 16,169 "," 15,209 "," 17,792 "," 16,972 "," 17,482 "," 19,024 "," 20,278 "," 17,699 "," 14,325 "," 8,972 "," 8,938 "," 6,792 "," 4,294 "," 1,617 ", 375 , 49 
, 計 ," 686,022 "," 3,918 "," 19,075 "," 4,659 "," 4,698 "," 4,837 "," 4,881 "," 25,190 "," 30,427 "," 40,608 "," 45,751 "," 43,046 "," 44,822 "," 54,360 "," 53,481 "," 50,165 "," 52,984 "," 52,812 "," 45,806 "," 38,268 "," 25,456 "," 25,327 "," 18,882 "," 10,873 "," 3,959 ", 737 , 75 
 雲 林 縣 , 男 ," 355,578 "," 2,064 "," 9,734 "," 2,349 "," 2,380 "," 2,512 "," 2,493 "," 13,137 "," 15,995 "," 21,363 "," 24,091 "," 22,877 "," 23,616 "," 27,948 "," 27,865 "," 27,172 "," 29,800 "," 29,148 "," 24,347 "," 19,668 "," 12,111 "," 11,426 "," 7,749 "," 3,977 "," 1,282 ", 188 , 20 
, 女 ," 330,444 "," 1,854 "," 9,341 "," 2,310 "," 2,318 "," 2,325 "," 2,388 "," 12,053 "," 14,432 "," 19,245 "," 21,660 "," 20,169 "," 21,206 "," 26,412 "," 25,616 "," 22,993 "," 23,184 "," 23,664 "," 21,459 "," 18,600 "," 13,345 "," 13,901 "," 11,133 "," 6,896 "," 2,677 ", 549 , 55 
, 計 ," 507,068 "," 2,397 "," 11,414 "," 2,846 "," 2,810 "," 2,943 "," 2,815 "," 15,062 "," 18,891 "," 28,863 "," 34,498 "," 33,636 "," 32,263 "," 37,260 "," 36,638 "," 37,946 "," 41,788 "," 43,142 "," 36,604 "," 30,212 "," 18,824 "," 19,158 "," 15,147 "," 9,301 "," 3,265 ", 677 , 82 
 嘉 義 縣 , 男 ," 263,451 "," 1,211 "," 5,908 "," 1,457 "," 1,472 "," 1,544 "," 1,435 "," 7,888 "," 9,901 "," 15,223 "," 18,026 "," 17,818 "," 17,496 "," 19,510 "," 18,966 "," 20,254 "," 23,268 "," 23,843 "," 19,725 "," 15,514 "," 8,959 "," 8,557 "," 6,370 "," 3,593 "," 1,186 ", 205 , 30 
, 女 ," 243,617 "," 1,186 "," 5,506 "," 1,389 "," 1,338 "," 1,399 "," 1,380 "," 7,174 "," 8,990 "," 13,640 "," 16,472 "," 15,818 "," 14,767 "," 17,750 "," 17,672 "," 17,692 "," 18,520 "," 19,299 "," 16,879 "," 14,698 "," 9,865 "," 10,601 "," 8,777 "," 5,708 "," 2,079 ", 472 , 52 
, 計 ," 825,406 "," 4,441 "," 21,919 "," 5,183 "," 5,414 "," 5,653 "," 5,669 "," 28,257 "," 33,484 "," 45,694 "," 58,452 "," 56,826 "," 54,792 "," 63,892 "," 62,963 "," 62,062 "," 67,428 "," 68,300 "," 60,626 "," 48,904 "," 28,850 "," 25,833 "," 18,336 "," 10,080 "," 3,516 ", 662 , 89 
 屏 東 縣 , 男 ," 421,534 "," 2,264 "," 11,464 "," 2,738 "," 2,823 "," 2,967 "," 2,936 "," 14,742 "," 17,553 "," 23,798 "," 30,614 "," 29,776 "," 29,134 "," 33,268 "," 32,446 "," 31,812 "," 35,378 "," 35,135 "," 30,091 "," 24,078 "," 13,707 "," 11,939 "," 8,084 "," 4,352 "," 1,583 ", 269 , 47 
, 女 ," 403,872 "," 2,177 "," 10,455 "," 2,445 "," 2,591 "," 2,686 "," 2,733 "," 13,515 "," 15,931 "," 21,896 "," 27,838 "," 27,050 "," 25,658 "," 30,624 "," 30,517 "," 30,250 "," 32,050 "," 33,165 "," 30,535 "," 24,826 "," 15,143 "," 13,894 "," 10,252 "," 5,728 "," 1,933 ", 393 , 42 
, 計 ," 218,919 "," 1,372 "," 6,411 "," 1,505 "," 1,574 "," 1,618 "," 1,714 "," 8,305 "," 9,650 "," 12,600 "," 15,093 "," 14,729 "," 13,753 "," 16,348 "," 16,502 "," 17,651 "," 17,984 "," 17,807 "," 15,456 "," 12,363 "," 7,490 "," 6,568 "," 4,650 "," 2,681 "," 1,176 ", 291 , 39 
 臺 東 縣 , 男 ," 112,845 ", 727 ," 3,318 ", 794 , 843 , 780 , 901 ," 4,362 "," 5,121 "," 6,586 "," 7,800 "," 7,835 "," 7,388 "," 8,613 "," 8,655 "," 9,451 "," 9,785 "," 9,349 "," 7,818 "," 5,819 "," 3,450 "," 2,867 "," 1,946 "," 1,212 ", 590 , 133 , 20 
, 女 ," 106,074 ", 645 ," 3,093 ", 711 , 731 , 838 , 813 ," 3,943 "," 4,529 "," 6,014 "," 7,293 "," 6,894 "," 6,365 "," 7,735 "," 7,847 "," 8,200 "," 8,199 "," 8,458 "," 7,638 "," 6,544 "," 4,040 "," 3,701 "," 2,704 "," 1,469 ", 586 , 158 , 19 
, 計 ," 327,968 "," 2,233 "," 10,285 "," 2,375 "," 2,603 "," 2,688 "," 2,619 "," 12,804 "," 13,955 "," 18,421 "," 22,840 "," 22,557 "," 21,100 "," 25,031 "," 24,809 "," 25,294 "," 25,984 "," 26,321 "," 24,170 "," 18,967 "," 11,038 "," 9,527 "," 6,487 "," 3,939 "," 1,708 ", 436 , 62 
 花 蓮 縣 , 男 ," 166,258 "," 1,168 "," 5,352 "," 1,227 "," 1,334 "," 1,404 "," 1,387 "," 6,712 "," 7,279 "," 9,626 "," 11,882 "," 11,769 "," 11,145 "," 13,020 "," 12,619 "," 12,809 "," 13,596 "," 13,218 "," 12,063 "," 9,178 "," 5,032 "," 4,167 "," 2,730 "," 1,773 ", 871 , 215 , 34 
, 女 ," 161,710 "," 1,065 "," 4,933 "," 1,148 "," 1,269 "," 1,284 "," 1,232 "," 6,092 "," 6,676 "," 8,795 "," 10,958 "," 10,788 "," 9,955 "," 12,011 "," 12,190 "," 12,485 "," 12,388 "," 13,103 "," 12,107 "," 9,789 "," 6,006 "," 5,360 "," 3,757 "," 2,166 ", 837 , 221 , 28 
, 計 ," 104,440 ", 792 ," 3,515 ", 996 , 968 , 813 , 738 ," 3,142 "," 3,557 "," 6,042 "," 8,188 "," 7,816 "," 7,684 "," 8,481 "," 8,065 "," 7,660 "," 8,098 "," 7,849 "," 6,816 "," 5,547 "," 3,342 "," 2,850 "," 2,492 "," 1,660 ", 652 , 180 , 12 
 澎 湖 縣 , 男 ," 53,807 ", 426 ," 1,877 ", 541 , 510 , 438 , 388 ," 1,640 "," 1,840 "," 3,217 "," 4,414 "," 4,241 "," 3,937 "," 4,236 "," 4,070 "," 4,048 "," 4,327 "," 4,165 "," 3,629 "," 2,738 "," 1,575 "," 1,314 "," 1,100 ", 688 , 251 , 69 , 5 
, 女 ," 50,633 ", 366 ," 1,638 ", 455 , 458 , 375 , 350 ," 1,502 "," 1,717 "," 2,825 "," 3,774 "," 3,575 "," 3,747 "," 4,245 "," 3,995 "," 3,612 "," 3,771 "," 3,684 "," 3,187 "," 2,809 "," 1,767 "," 1,536 "," 1,392 ", 972 , 401 , 111 , 7 
, 計 ," 370,155 "," 2,017 "," 9,479 "," 2,182 "," 2,473 "," 2,494 "," 2,330 "," 12,771 "," 14,596 "," 20,066 "," 25,455 "," 26,161 "," 23,735 "," 27,506 "," 28,261 "," 29,354 "," 31,438 "," 32,395 "," 28,923 "," 23,047 "," 11,569 "," 10,411 "," 6,764 "," 3,910 "," 1,783 ", 410 , 104 
 基 隆 市 , 男 ," 184,978 "," 1,049 "," 4,860 "," 1,110 "," 1,247 "," 1,317 "," 1,186 "," 6,545 "," 7,663 "," 10,521 "," 13,249 "," 13,848 "," 12,414 "," 13,986 "," 14,011 "," 14,618 "," 15,772 "," 16,171 "," 14,041 "," 10,884 "," 5,373 "," 4,540 "," 2,680 "," 1,685 ", 809 , 205 , 54 
, 女 ," 185,177 ", 968 ," 4,619 "," 1,072 "," 1,226 "," 1,177 "," 1,144 "," 6,226 "," 6,933 "," 9,545 "," 12,206 "," 12,313 "," 11,321 "," 13,520 "," 14,250 "," 14,736 "," 15,666 "," 16,224 "," 14,882 "," 12,163 "," 6,196 "," 5,871 "," 4,084 "," 2,225 ", 974 , 205 , 50 
, 計 ," 445,635 "," 3,859 "," 21,129 "," 4,622 "," 5,078 "," 5,583 "," 5,846 "," 26,882 "," 25,178 "," 26,812 "," 27,483 "," 27,473 "," 30,230 "," 42,100 "," 40,356 "," 34,893 "," 31,554 "," 29,156 "," 25,102 "," 20,041 "," 11,426 "," 9,377 "," 6,197 "," 3,948 "," 1,911 ", 455 , 73 
 新 竹 市 , 男 ," 219,846 "," 1,950 "," 10,907 "," 2,386 "," 2,591 "," 2,917 "," 3,013 "," 13,949 "," 13,211 "," 13,960 "," 14,229 "," 14,167 "," 14,902 "," 20,100 "," 19,680 "," 17,041 "," 15,743 "," 14,326 "," 11,906 "," 9,340 "," 5,127 "," 3,890 "," 2,473 "," 1,742 ", 955 , 213 , 35 
, 女 ," 225,789 "," 1,909 "," 10,222 "," 2,236 "," 2,487 "," 2,666 "," 2,833 "," 12,933 "," 11,967 "," 12,852 "," 13,254 "," 13,306 "," 15,328 "," 22,000 "," 20,676 "," 17,852 "," 15,811 "," 14,830 "," 13,196 "," 10,701 "," 6,299 "," 5,487 "," 3,724 "," 2,206 ", 956 , 242 , 38 
, 計 ," 268,622 "," 1,770 "," 8,958 "," 1,962 "," 2,301 "," 2,323 "," 2,372 "," 12,289 "," 13,907 "," 17,359 "," 18,983 "," 17,699 "," 17,408 "," 20,978 "," 21,132 "," 20,282 "," 20,702 "," 19,939 "," 17,479 "," 14,353 "," 8,485 "," 7,218 "," 5,154 "," 2,990 "," 1,244 ", 251 , 42 
 嘉 義 市 , 男 ," 130,416 ", 964 ," 4,570 "," 1,042 "," 1,147 "," 1,162 "," 1,219 "," 6,454 "," 7,318 "," 9,081 "," 9,719 "," 9,175 "," 8,677 "," 10,004 "," 9,683 "," 9,405 "," 9,907 "," 9,560 "," 8,341 "," 6,675 "," 3,818 "," 3,066 "," 2,069 "," 1,222 ", 568 , 120 , 20 
, 女 ," 138,206 ", 806 ," 4,388 ", 920 ," 1,154 "," 1,161 "," 1,153 "," 5,835 "," 6,589 "," 8,278 "," 9,264 "," 8,524 "," 8,731 "," 10,974 "," 11,449 "," 10,877 "," 10,795 "," 10,379 "," 9,138 "," 7,678 "," 4,667 "," 4,152 "," 3,085 "," 1,768 ", 676 , 131 , 22 
, 計 ," 152,329 "," 1,221 "," 4,790 "," 1,269 "," 1,270 "," 1,170 "," 1,081 "," 4,358 "," 4,233 "," 7,478 "," 12,494 "," 12,413 "," 11,436 "," 11,442 "," 10,889 "," 11,864 "," 13,782 "," 14,105 "," 12,552 "," 7,334 "," 3,964 "," 3,135 "," 2,504 "," 1,445 ", 621 , 212 , 57 
 福 建 省 , 男 ," 76,942 ", 631 ," 2,497 ", 662 , 675 , 610 , 550 ," 2,284 "," 2,229 "," 3,856 "," 6,186 "," 6,311 "," 5,742 "," 5,663 "," 5,302 "," 6,119 "," 6,989 "," 7,270 "," 6,523 "," 3,751 "," 2,042 "," 1,538 "," 1,212 ", 565 , 159 , 63 , 10 
, 女 ," 75,387 ", 590 ," 2,293 ", 607 , 595 , 560 , 531 ," 2,074 "," 2,004 "," 3,622 "," 6,308 "," 6,102 "," 5,694 "," 5,779 "," 5,587 "," 5,745 "," 6,793 "," 6,835 "," 6,029 "," 3,583 "," 1,922 "," 1,597 "," 1,292 ", 880 , 462 , 149 , 47 
, 計 ," 139,273 "," 1,092 "," 4,275 "," 1,136 "," 1,130 "," 1,047 ", 962 ," 3,905 "," 3,803 "," 6,847 "," 11,622 "," 11,250 "," 10,446 "," 10,377 "," 9,895 "," 10,804 "," 12,708 "," 12,936 "," 11,508 "," 6,750 "," 3,618 "," 2,947 "," 2,343 "," 1,340 ", 568 , 186 , 53 
