 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國102年底 ,,,,,,,,,,,,,, 中華民國102年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,373,517 "," 183,744 "," 803,207 "," 237,295 "," 201,101 "," 169,350 "," 195,461 "," 1,039,973 "," 1,319,677 "," 1,556,952 "," 1,601,542 "," 1,650,491 "," 2,014,190 "," 1,924,082 "," 1,815,671 "," 1,856,314 "," 1,863,764 "," 1,675,557 "," 1,373,947 "," 792,163 "," 696,464 "," 523,185 "," 380,160 "," 213,004 "," 71,974 "," 14,618 "," 2,838 "
 總　　計 , 男 ," 11,684,674 "," 95,153 "," 417,060 "," 122,796 "," 104,333 "," 88,242 "," 101,689 "," 543,718 "," 689,170 "," 809,139 "," 833,182 "," 842,171 "," 1,003,345 "," 952,401 "," 899,869 "," 925,294 "," 923,924 "," 822,075 "," 666,914 "," 378,513 "," 322,248 "," 232,756 "," 182,091 "," 105,360 "," 32,648 "," 6,225 "," 1,418 "
, 女 ," 11,688,843 "," 88,591 "," 386,147 "," 114,499 "," 96,768 "," 81,108 "," 93,772 "," 496,255 "," 630,507 "," 747,813 "," 768,360 "," 808,320 "," 1,010,845 "," 971,681 "," 915,802 "," 931,020 "," 939,840 "," 853,482 "," 707,033 "," 413,650 "," 374,216 "," 290,429 "," 198,069 "," 107,644 "," 39,326 "," 8,393 "," 1,420 "
, 計 ," 3,954,929 "," 32,056 "," 131,414 "," 40,247 "," 32,735 "," 26,852 "," 31,580 "," 171,155 "," 209,940 "," 256,414 "," 278,139 "," 290,967 "," 359,907 "," 343,281 "," 315,516 "," 320,950 "," 330,332 "," 299,991 "," 239,984 "," 127,452 "," 98,371 "," 64,030 "," 45,438 "," 26,929 "," 9,859 "," 2,209 ", 595 
 新 北 市 , 男 ," 1,950,060 "," 16,637 "," 68,369 "," 20,788 "," 17,133 "," 14,032 "," 16,416 "," 89,532 "," 109,407 "," 132,696 "," 145,371 "," 147,239 "," 178,288 "," 168,594 "," 154,560 "," 152,872 "," 155,890 "," 140,919 "," 113,143 "," 60,462 "," 45,088 "," 27,929 "," 22,705 "," 13,991 "," 4,965 "," 1,071 ", 332 
, 女 ," 2,004,869 "," 15,419 "," 63,045 "," 19,459 "," 15,602 "," 12,820 "," 15,164 "," 81,623 "," 100,533 "," 123,718 "," 132,768 "," 143,728 "," 181,619 "," 174,687 "," 160,956 "," 168,078 "," 174,442 "," 159,072 "," 126,841 "," 66,990 "," 53,283 "," 36,101 "," 22,733 "," 12,938 "," 4,894 "," 1,138 ", 263 
, 計 ," 2,686,516 "," 25,637 "," 110,454 "," 33,475 "," 29,187 "," 23,276 "," 24,516 "," 110,797 "," 136,713 "," 153,991 "," 151,106 "," 164,894 "," 226,155 "," 222,689 "," 210,511 "," 210,737 "," 212,115 "," 205,948 "," 182,164 "," 108,656 "," 89,016 "," 64,714 "," 50,666 "," 32,889 "," 13,005 "," 2,965 ", 694 
 臺 北 市 , 男 ," 1,289,945 "," 13,220 "," 56,947 "," 17,262 "," 14,931 "," 12,100 "," 12,654 "," 57,925 "," 71,323 "," 79,938 "," 78,179 "," 81,112 "," 105,983 "," 103,395 "," 97,003 "," 97,756 "," 99,013 "," 96,264 "," 84,867 "," 50,339 "," 39,349 "," 27,534 "," 24,534 "," 16,688 "," 6,705 "," 1,471 ", 400 
