 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國104年底 ,,,,,,,,,,,,,, 中華民國104年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 女 ," 1,387,431 "," 11,896 "," 53,835 "," 13,292 "," 12,331 "," 15,319 "," 12,893 "," 60,595 "," 71,220 "," 92,392 "," 95,955 "," 95,468 "," 116,524 "," 124,062 "," 108,978 "," 112,635 "," 111,047 "," 98,346 "," 83,574 "," 51,719 "," 35,434 "," 29,344 "," 19,255 "," 10,479 "," 3,710 ", 827 , 136 
, 計 ," 1,885,541 "," 14,932 "," 64,289 "," 15,606 "," 14,844 "," 18,675 "," 15,164 "," 74,107 "," 87,292 "," 115,284 "," 126,053 "," 129,336 "," 154,581 "," 162,747 "," 138,195 "," 147,173 "," 155,592 "," 145,859 "," 123,307 "," 78,250 "," 55,357 "," 48,774 "," 35,839 "," 20,407 "," 6,631 "," 1,346 ", 190 
 臺 南 市 , 男 ," 943,804 "," 7,740 "," 33,307 "," 8,026 "," 7,636 "," 9,699 "," 7,946 "," 38,595 "," 45,502 "," 60,299 "," 65,174 "," 66,816 "," 77,700 "," 81,872 "," 68,067 "," 73,018 "," 77,852 "," 73,277 "," 61,512 "," 38,077 "," 25,742 "," 21,473 "," 15,471 "," 9,074 "," 2,668 ", 496 , 72 
, 女 ," 941,737 "," 7,192 "," 30,982 "," 7,580 "," 7,208 "," 8,976 "," 7,218 "," 35,512 "," 41,790 "," 54,985 "," 60,879 "," 62,520 "," 76,881 "," 80,875 "," 70,128 "," 74,155 "," 77,740 "," 72,582 "," 61,795 "," 40,173 "," 29,615 "," 27,301 "," 20,368 "," 11,333 "," 3,963 ", 850 , 118 
, 計 ," 2,778,918 "," 21,338 "," 91,101 "," 22,661 "," 21,259 "," 25,513 "," 21,668 "," 107,509 "," 129,639 "," 173,014 "," 185,913 "," 185,314 "," 221,720 "," 244,339 "," 219,152 "," 222,932 "," 222,176 "," 211,077 "," 193,246 "," 125,813 "," 83,915 "," 64,415 "," 41,598 "," 24,621 "," 8,354 "," 1,514 ", 218 
 高 雄 市 , 男 ," 1,380,989 "," 11,134 "," 47,158 "," 11,775 "," 10,915 "," 13,166 "," 11,302 "," 55,717 "," 67,494 "," 89,577 "," 96,717 "," 95,625 "," 111,295 "," 121,060 "," 107,923 "," 111,129 "," 109,363 "," 101,619 "," 91,728 "," 59,563 "," 39,134 "," 28,162 "," 18,939 "," 12,778 "," 4,091 ", 683 , 100 
, 女 ," 1,397,929 "," 10,204 "," 43,943 "," 10,886 "," 10,344 "," 12,347 "," 10,366 "," 51,792 "," 62,145 "," 83,437 "," 89,196 "," 89,689 "," 110,425 "," 123,279 "," 111,229 "," 111,803 "," 112,813 "," 109,458 "," 101,518 "," 66,250 "," 44,781 "," 36,253 "," 22,659 "," 11,843 "," 4,263 ", 831 , 118 
, 計 ," 7,156,590 "," 56,244 "," 236,278 "," 59,097 "," 54,980 "," 66,021 "," 56,180 "," 292,090 "," 364,997 "," 469,502 "," 502,201 "," 483,026 "," 553,911 "," 582,578 "," 519,637 "," 548,429 "," 565,418 "," 519,800 "," 451,517 "," 296,974 "," 230,570 "," 212,847 "," 150,017 "," 85,136 "," 28,887 "," 5,698 ", 833 
 臺 灣 省 , 男 ," 3,656,660 "," 29,265 "," 122,711 "," 30,583 "," 28,684 "," 34,349 "," 29,095 "," 153,114 "," 191,259 "," 245,715 "," 261,126 "," 253,153 "," 284,522 "," 296,981 "," 266,826 "," 288,998 "," 297,252 "," 269,075 "," 228,389 "," 145,944 "," 109,087 "," 96,738 "," 65,108 "," 37,289 "," 11,679 "," 2,058 ", 371 
, 女 ," 3,499,930 "," 26,979 "," 113,567 "," 28,514 "," 26,296 "," 31,672 "," 27,085 "," 138,976 "," 173,738 "," 223,787 "," 241,075 "," 229,873 "," 269,389 "," 285,597 "," 252,811 "," 259,431 "," 268,166 "," 250,725 "," 223,128 "," 151,030 "," 121,483 "," 116,109 "," 84,909 "," 47,847 "," 17,208 "," 3,640 ", 462 
