 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國106年底 ,,,,,,,,,,,,,, 中華民國106年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,571,227 "," 183,442 "," 838,957 "," 210,181 "," 216,300 "," 214,516 "," 197,960 "," 1,002,432 "," 1,067,042 "," 1,358,072 "," 1,611,544 "," 1,612,210 "," 1,693,435 "," 2,039,539 "," 1,864,091 "," 1,816,142 "," 1,841,651 "," 1,792,852 "," 1,581,805 "," 1,222,156 "," 686,478 "," 592,390 "," 398,232 "," 245,808 "," 97,452 "," 22,171 "," 3,326 "
 總　　計 , 男 ," 11,719,580 "," 95,090 "," 434,630 "," 108,888 "," 112,410 "," 110,720 "," 102,612 "," 521,151 "," 558,086 "," 707,868 "," 835,784 "," 836,819 "," 852,994 "," 1,009,075 "," 917,671 "," 895,576 "," 909,365 "," 878,847 "," 764,913 "," 582,609 "," 318,877 "," 262,498 "," 168,622 "," 113,012 "," 44,987 "," 9,585 "," 1,521 "
, 女 ," 11,851,647 "," 88,352 "," 404,327 "," 101,293 "," 103,890 "," 103,796 "," 95,348 "," 481,281 "," 508,956 "," 650,204 "," 775,760 "," 775,391 "," 840,441 "," 1,030,464 "," 946,420 "," 920,566 "," 932,286 "," 914,005 "," 816,892 "," 639,547 "," 367,601 "," 329,892 "," 229,610 "," 132,796 "," 52,465 "," 12,586 "," 1,805 "
, 計 ," 3,986,689 "," 29,103 "," 131,791 "," 33,118 "," 33,650 "," 33,891 "," 31,132 "," 166,018 "," 171,243 "," 222,080 "," 270,348 "," 280,047 "," 288,668 "," 353,800 "," 329,169 "," 315,798 "," 322,942 "," 319,086 "," 284,199 "," 213,535 "," 109,568 "," 82,117 "," 49,121 "," 30,645 "," 13,321 "," 3,497 ", 593 
 新 北 市 , 男 ," 1,953,397 "," 14,970 "," 68,143 "," 17,108 "," 17,462 "," 17,387 "," 16,186 "," 86,328 "," 89,407 "," 115,462 "," 140,403 "," 145,401 "," 144,569 "," 173,568 "," 160,654 "," 152,201 "," 151,659 "," 148,874 "," 131,758 "," 99,398 "," 50,872 "," 35,790 "," 20,581 "," 14,822 "," 6,509 "," 1,710 ", 318 
, 女 ," 2,033,292 "," 14,133 "," 63,648 "," 16,010 "," 16,188 "," 16,504 "," 14,946 "," 79,690 "," 81,836 "," 106,618 "," 129,945 "," 134,646 "," 144,099 "," 180,232 "," 168,515 "," 163,597 "," 171,283 "," 170,212 "," 152,441 "," 114,137 "," 58,696 "," 46,327 "," 28,540 "," 15,823 "," 6,812 "," 1,787 ", 275 
, 計 ," 2,683,257 "," 24,117 "," 118,217 "," 29,281 "," 30,555 "," 30,737 "," 27,644 "," 115,890 "," 111,648 "," 130,363 "," 149,409 "," 155,571 "," 188,340 "," 239,048 "," 211,733 "," 202,735 "," 201,664 "," 201,288 "," 194,058 "," 163,695 "," 93,187 "," 75,392 "," 50,172 "," 35,046 "," 16,454 "," 4,465 ", 765 
 臺 北 市 , 男 ," 1,281,917 "," 12,377 "," 60,911 "," 15,116 "," 15,839 "," 15,742 "," 14,214 "," 60,065 "," 58,421 "," 67,866 "," 76,821 "," 78,398 "," 88,852 "," 112,036 "," 98,779 "," 93,412 "," 93,512 "," 93,459 "," 90,040 "," 75,160 "," 42,102 "," 32,045 "," 20,600 "," 16,509 "," 7,968 "," 2,205 ", 379 
