 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國106年底 ,,,,,,,,,,,,,, 中華民國106年底 ,,,,,,,,   單位：人 
, 女 ," 1,401,340 "," 11,740 "," 57,306 "," 14,165 "," 14,716 "," 14,995 "," 13,430 "," 55,825 "," 53,227 "," 62,497 "," 72,588 "," 77,173 "," 99,488 "," 127,012 "," 112,954 "," 109,323 "," 108,152 "," 107,829 "," 104,018 "," 88,535 "," 51,085 "," 43,347 "," 29,572 "," 18,537 "," 8,486 "," 2,260 ", 386 
, 計 ," 2,188,017 "," 22,330 "," 90,854 "," 24,556 "," 24,034 "," 22,142 "," 20,122 "," 106,424 "," 112,041 "," 138,989 "," 158,198 "," 158,479 "," 168,211 "," 202,008 "," 179,184 "," 170,852 "," 166,021 "," 151,286 "," 127,136 "," 93,719 "," 49,630 "," 39,340 "," 25,044 "," 18,795 "," 7,598 "," 1,616 ", 262 
 桃 園 市 , 男 ," 1,089,619 "," 11,604 "," 47,282 "," 12,723 "," 12,446 "," 11,593 "," 10,520 "," 55,129 "," 58,904 "," 72,591 "," 82,146 "," 81,747 "," 83,892 "," 99,141 "," 88,299 "," 83,665 "," 81,181 "," 73,487 "," 60,479 "," 43,693 "," 22,605 "," 16,932 "," 10,759 "," 10,839 "," 4,328 ", 776 , 140 
, 女 ," 1,098,398 "," 10,726 "," 43,572 "," 11,833 "," 11,588 "," 10,549 "," 9,602 "," 51,295 "," 53,137 "," 66,398 "," 76,052 "," 76,732 "," 84,319 "," 102,867 "," 90,885 "," 87,187 "," 84,840 "," 77,799 "," 66,657 "," 50,026 "," 27,025 "," 22,408 "," 14,285 "," 7,956 "," 3,270 ", 840 , 122 
, 計 ," 2,787,070 "," 23,551 "," 113,540 "," 27,462 "," 29,109 "," 29,620 "," 27,349 "," 132,731 "," 137,645 "," 174,014 "," 203,700 "," 201,650 "," 211,338 "," 249,417 "," 220,519 "," 214,390 "," 213,759 "," 199,875 "," 170,360 "," 126,337 "," 68,325 "," 56,600 "," 36,475 "," 22,194 "," 8,580 "," 1,809 ", 261 
 臺 中 市 , 男 ," 1,374,085 "," 12,321 "," 58,967 "," 14,285 "," 15,214 "," 15,278 "," 14,190 "," 68,972 "," 71,514 "," 90,306 "," 105,567 "," 103,767 "," 105,340 "," 122,222 "," 106,116 "," 102,072 "," 101,924 "," 95,842 "," 81,416 "," 60,125 "," 31,449 "," 24,962 "," 15,460 "," 10,583 "," 4,270 ", 790 , 100 
, 女 ," 1,412,985 "," 11,230 "," 54,573 "," 13,177 "," 13,895 "," 14,342 "," 13,159 "," 63,759 "," 66,131 "," 83,708 "," 98,133 "," 97,883 "," 105,998 "," 127,195 "," 114,403 "," 112,318 "," 111,835 "," 104,033 "," 88,944 "," 66,212 "," 36,876 "," 31,638 "," 21,015 "," 11,611 "," 4,310 "," 1,019 ", 161 
, 計 ," 1,886,522 "," 13,111 "," 63,071 "," 14,900 "," 16,443 "," 16,429 "," 15,299 "," 76,707 "," 80,802 "," 103,138 "," 125,457 "," 129,206 "," 137,923 "," 164,462 "," 146,988 "," 142,529 "," 150,704 "," 151,222 "," 129,887 "," 98,468 "," 54,846 "," 49,794 "," 36,769 "," 21,862 "," 7,759 "," 1,601 ", 216 
 臺 南 市 , 男 ," 942,278 "," 6,802 "," 32,597 "," 7,819 "," 8,514 "," 8,429 "," 7,835 "," 39,852 "," 42,195 "," 53,864 "," 64,900 "," 67,117 "," 69,874 "," 82,598 "," 72,804 "," 70,172 "," 74,786 "," 75,432 "," 64,785 "," 48,238 "," 25,559 "," 22,094 "," 15,448 "," 9,311 "," 3,204 ", 567 , 79 
, 女 ," 944,244 "," 6,309 "," 30,474 "," 7,081 "," 7,929 "," 8,000 "," 7,464 "," 36,855 "," 38,607 "," 49,274 "," 60,557 "," 62,089 "," 68,049 "," 81,864 "," 74,184 "," 72,357 "," 75,918 "," 75,790 "," 65,102 "," 50,230 "," 29,287 "," 27,700 "," 21,321 "," 12,551 "," 4,555 "," 1,034 ", 137 
, 計 ," 2,776,912 "," 19,299 "," 89,396 "," 21,929 "," 22,965 "," 22,824 "," 21,678 "," 109,250 "," 119,003 "," 155,413 "," 186,219 "," 187,520 "," 195,744 "," 239,903 "," 228,550 "," 220,968 "," 218,766 "," 214,636 "," 197,384 "," 158,202 "," 85,875 "," 69,925 "," 43,405 "," 25,576 "," 9,693 "," 1,952 ", 233 
 高 雄 市 , 男 ," 1,375,515 "," 10,075 "," 46,280 "," 11,329 "," 11,980 "," 11,864 "," 11,107 "," 56,521 "," 62,042 "," 80,630 "," 96,573 "," 97,340 "," 99,219 "," 118,693 "," 112,318 "," 109,053 "," 108,136 "," 103,514 "," 93,430 "," 74,149 "," 39,920 "," 30,851 "," 18,446 "," 12,443 "," 4,889 ", 881 , 112 
, 女 ," 1,401,397 "," 9,224 "," 43,116 "," 10,600 "," 10,985 "," 10,960 "," 10,571 "," 52,729 "," 56,961 "," 74,783 "," 89,646 "," 90,180 "," 96,525 "," 121,210 "," 116,232 "," 111,915 "," 110,630 "," 111,122 "," 103,954 "," 84,053 "," 45,955 "," 39,074 "," 24,959 "," 13,133 "," 4,804 "," 1,071 ", 121 
, 計 ," 7,112,424 "," 50,646 "," 226,975 "," 57,533 "," 58,193 "," 57,575 "," 53,674 "," 291,028 "," 330,348 "," 426,625 "," 505,203 "," 487,577 "," 491,981 "," 579,451 "," 537,245 "," 536,968 "," 553,956 "," 541,786 "," 467,148 "," 361,529 "," 221,276 "," 216,095 "," 154,823 "," 90,328 "," 33,454 "," 7,037 ", 945 
 臺 灣 省 , 男 ," 3,626,698 "," 26,265 "," 117,770 "," 29,760 "," 30,248 "," 29,760 "," 28,002 "," 152,020 "," 173,304 "," 223,342 "," 262,877 "," 256,896 "," 255,631 "," 295,189 "," 273,410 "," 278,832 "," 291,172 "," 281,096 "," 236,947 "," 178,454 "," 104,427 "," 98,273 "," 66,169 "," 38,000 "," 13,651 "," 2,591 ", 382 
, 女 ," 3,485,726 "," 24,381 "," 109,205 "," 27,773 "," 27,945 "," 27,815 "," 25,672 "," 139,008 "," 157,044 "," 203,283 "," 242,326 "," 230,681 "," 236,350 "," 284,262 "," 263,835 "," 258,136 "," 262,784 "," 260,690 "," 230,201 "," 183,075 "," 116,849 "," 117,822 "," 88,654 "," 52,328 "," 19,803 "," 4,446 ", 563 
, 計 ," 456,607 "," 3,168 "," 14,022 "," 3,532 "," 3,472 "," 3,506 "," 3,512 "," 18,055 "," 20,429 "," 26,716 "," 34,021 "," 32,770 "," 30,828 "," 35,003 "," 33,476 "," 35,174 "," 36,495 "," 35,683 "," 30,742 "," 22,382 "," 14,019 "," 14,830 "," 10,269 "," 5,829 "," 2,167 ", 456 , 73 
 宜 蘭 縣 , 男 ," 230,976 "," 1,635 "," 7,352 "," 1,853 "," 1,803 "," 1,833 "," 1,863 "," 9,398 "," 10,601 "," 13,915 "," 17,646 "," 17,361 "," 15,972 "," 17,741 "," 16,818 "," 17,952 "," 18,769 "," 17,933 "," 15,398 "," 10,984 "," 6,686 "," 6,772 "," 4,481 "," 2,486 ", 890 , 154 , 32 
, 女 ," 225,631 "," 1,533 "," 6,670 "," 1,679 "," 1,669 "," 1,673 "," 1,649 "," 8,657 "," 9,828 "," 12,801 "," 16,375 "," 15,409 "," 14,856 "," 17,262 "," 16,658 "," 17,222 "," 17,726 "," 17,750 "," 15,344 "," 11,398 "," 7,333 "," 8,058 "," 5,788 "," 3,343 "," 1,277 ", 302 , 41 
, 計 ," 552,169 "," 4,810 "," 24,266 "," 5,795 "," 6,002 "," 6,398 "," 6,071 "," 31,675 "," 30,580 "," 34,765 "," 38,793 "," 36,152 "," 37,685 "," 50,618 "," 47,993 "," 43,611 "," 40,056 "," 36,010 "," 28,975 "," 21,238 "," 13,417 "," 13,569 "," 9,485 "," 5,717 "," 2,238 ", 443 , 73 
 新 竹 縣 , 男 ," 282,073 "," 2,504 "," 12,555 "," 3,014 "," 3,163 "," 3,269 "," 3,109 "," 16,511 "," 15,957 "," 18,297 "," 20,215 "," 19,066 "," 19,119 "," 24,944 "," 24,024 "," 22,507 "," 20,896 "," 18,981 "," 14,802 "," 10,588 "," 6,436 "," 6,462 "," 4,329 "," 2,693 ", 975 , 181 , 31 
, 女 ," 270,096 "," 2,306 "," 11,711 "," 2,781 "," 2,839 "," 3,129 "," 2,962 "," 15,164 "," 14,623 "," 16,468 "," 18,578 "," 17,086 "," 18,566 "," 25,674 "," 23,969 "," 21,104 "," 19,160 "," 17,029 "," 14,173 "," 10,650 "," 6,981 "," 7,107 "," 5,156 "," 3,024 "," 1,263 ", 262 , 42 
, 計 ," 553,807 "," 3,613 "," 19,214 "," 4,520 "," 5,194 "," 5,091 "," 4,409 "," 23,508 "," 25,865 "," 32,634 "," 39,284 "," 39,234 "," 39,593 "," 45,822 "," 39,981 "," 40,551 "," 41,529 "," 41,854 "," 35,764 "," 26,909 "," 17,245 "," 17,216 "," 12,676 "," 7,758 "," 2,852 ", 628 , 77 
 苗 栗 縣 , 男 ," 285,844 "," 1,865 "," 9,893 "," 2,327 "," 2,692 "," 2,596 "," 2,278 "," 12,248 "," 13,778 "," 17,205 "," 20,569 "," 20,756 "," 20,634 "," 23,517 "," 20,773 "," 21,465 "," 21,951 "," 21,999 "," 18,612 "," 13,427 "," 8,382 "," 8,244 "," 5,784 "," 3,382 "," 1,114 ", 224 , 22 
, 女 ," 267,963 "," 1,748 "," 9,321 "," 2,193 "," 2,502 "," 2,495 "," 2,131 "," 11,260 "," 12,087 "," 15,429 "," 18,715 "," 18,478 "," 18,959 "," 22,305 "," 19,208 "," 19,086 "," 19,578 "," 19,855 "," 17,152 "," 13,482 "," 8,863 "," 8,972 "," 6,892 "," 4,376 "," 1,738 ", 404 , 55 
, 計 ," 1,282,458 "," 11,667 "," 44,500 "," 12,475 "," 11,702 "," 10,702 "," 9,621 "," 53,147 "," 61,136 "," 79,125 "," 91,558 "," 93,120 "," 97,240 "," 108,493 "," 94,713 "," 89,199 "," 94,186 "," 93,891 "," 80,984 "," 63,150 "," 38,225 "," 37,445 "," 27,855 "," 15,824 "," 5,698 "," 1,186 ", 116 
 彰 化 縣 , 男 ," 653,646 "," 6,073 "," 23,194 "," 6,468 "," 6,099 "," 5,573 "," 5,054 "," 27,607 "," 32,300 "," 41,415 "," 47,706 "," 48,769 "," 50,102 "," 55,704 "," 48,682 "," 46,367 "," 48,895 "," 48,513 "," 41,107 "," 31,346 "," 18,430 "," 17,254 "," 11,727 "," 6,150 "," 1,923 ", 353 , 29 
, 女 ," 628,812 "," 5,594 "," 21,306 "," 6,007 "," 5,603 "," 5,129 "," 4,567 "," 25,540 "," 28,836 "," 37,710 "," 43,852 "," 44,351 "," 47,138 "," 52,789 "," 46,031 "," 42,832 "," 45,291 "," 45,378 "," 39,877 "," 31,804 "," 19,795 "," 20,191 "," 16,128 "," 9,674 "," 3,775 ", 833 , 87 
, 計 ," 501,051 "," 3,068 "," 12,906 "," 3,443 "," 3,244 "," 3,228 "," 2,991 "," 17,799 "," 21,960 "," 29,918 "," 36,526 "," 35,262 "," 33,839 "," 37,723 "," 34,488 "," 37,436 "," 40,653 "," 41,208 "," 35,485 "," 27,414 "," 16,500 "," 16,720 "," 11,952 "," 7,093 "," 2,513 ", 531 , 57 
 南 投 縣 , 男 ," 256,732 "," 1,580 "," 6,715 "," 1,800 "," 1,669 "," 1,700 "," 1,546 "," 9,251 "," 11,401 "," 15,614 "," 18,803 "," 18,823 "," 18,141 "," 19,749 "," 17,607 "," 19,484 "," 21,223 "," 21,336 "," 18,280 "," 13,800 "," 7,869 "," 7,707 "," 5,160 "," 2,957 "," 1,024 ", 190 , 18 
, 女 ," 244,319 "," 1,488 "," 6,191 "," 1,643 "," 1,575 "," 1,528 "," 1,445 "," 8,548 "," 10,559 "," 14,304 "," 17,723 "," 16,439 "," 15,698 "," 17,974 "," 16,881 "," 17,952 "," 19,430 "," 19,872 "," 17,205 "," 13,614 "," 8,631 "," 9,013 "," 6,792 "," 4,136 "," 1,489 ", 341 , 39 
, 計 ," 690,373 "," 4,325 "," 19,244 "," 4,788 "," 4,915 "," 4,969 "," 4,572 "," 26,019 "," 31,928 "," 41,617 "," 46,614 "," 43,573 "," 46,949 "," 55,465 "," 52,111 "," 51,086 "," 53,747 "," 51,675 "," 44,830 "," 36,880 "," 25,314 "," 25,540 "," 18,562 "," 10,488 "," 3,624 ", 705 , 77 
 雲 林 縣 , 男 ," 358,179 "," 2,191 "," 9,862 "," 2,421 "," 2,546 "," 2,547 "," 2,348 "," 13,676 "," 16,830 "," 21,845 "," 24,396 "," 23,120 "," 24,608 "," 28,517 "," 27,339 "," 28,053 "," 30,302 "," 28,488 "," 23,711 "," 18,930 "," 11,898 "," 11,491 "," 7,650 "," 3,877 "," 1,201 ", 176 , 18 
, 女 ," 332,194 "," 2,134 "," 9,382 "," 2,367 "," 2,369 "," 2,422 "," 2,224 "," 12,343 "," 15,098 "," 19,772 "," 22,218 "," 20,453 "," 22,341 "," 26,948 "," 24,772 "," 23,033 "," 23,445 "," 23,187 "," 21,119 "," 17,950 "," 13,416 "," 14,049 "," 10,912 "," 6,611 "," 2,423 ", 529 , 59 
, 計 ," 511,182 "," 2,684 "," 11,591 "," 2,900 "," 3,024 "," 2,886 "," 2,781 "," 15,581 "," 20,320 "," 29,909 "," 35,500 "," 33,783 "," 33,406 "," 38,037 "," 36,469 "," 38,875 "," 42,593 "," 42,372 "," 35,678 "," 28,904 "," 18,225 "," 19,655 "," 15,073 "," 8,838 "," 2,994 ", 614 , 81 
 嘉 義 縣 , 男 ," 265,882 "," 1,373 "," 6,057 "," 1,517 "," 1,582 "," 1,496 "," 1,462 "," 8,176 "," 10,625 "," 15,772 "," 18,491 "," 17,949 "," 17,991 "," 19,872 "," 18,910 "," 21,073 "," 23,796 "," 23,426 "," 19,134 "," 14,767 "," 8,581 "," 8,809 "," 6,311 "," 3,462 "," 1,083 ", 195 , 29 
, 女 ," 245,300 "," 1,311 "," 5,534 "," 1,383 "," 1,442 "," 1,390 "," 1,319 "," 7,405 "," 9,695 "," 14,137 "," 17,009 "," 15,834 "," 15,415 "," 18,165 "," 17,559 "," 17,802 "," 18,797 "," 18,946 "," 16,544 "," 14,137 "," 9,644 "," 10,846 "," 8,762 "," 5,376 "," 1,911 ", 419 , 52 
, 計 ," 829,939 "," 4,760 "," 21,760 "," 5,404 "," 5,581 "," 5,596 "," 5,179 "," 28,917 "," 35,236 "," 47,572 "," 60,630 "," 57,422 "," 56,038 "," 65,337 "," 61,784 "," 63,843 "," 68,058 "," 67,514 "," 59,721 "," 46,448 "," 27,380 "," 26,024 "," 17,845 "," 9,711 "," 3,220 ", 633 , 86 
 屏 東 縣 , 男 ," 424,486 "," 2,507 "," 11,341 "," 2,832 "," 2,912 "," 2,892 "," 2,705 "," 15,181 "," 18,422 "," 24,790 "," 31,699 "," 30,144 "," 29,603 "," 33,992 "," 31,875 "," 33,094 "," 35,668 "," 34,662 "," 29,623 "," 22,948 "," 12,953 "," 12,119 "," 7,851 "," 4,291 "," 1,439 ", 239 , 45 
, 女 ," 405,453 "," 2,253 "," 10,419 "," 2,572 "," 2,669 "," 2,704 "," 2,474 "," 13,736 "," 16,814 "," 22,782 "," 28,931 "," 27,278 "," 26,435 "," 31,345 "," 29,909 "," 30,749 "," 32,390 "," 32,852 "," 30,098 "," 23,500 "," 14,427 "," 13,905 "," 9,994 "," 5,420 "," 1,781 ", 394 , 41 
, 計 ," 219,540 "," 1,405 "," 6,493 "," 1,576 "," 1,630 "," 1,705 "," 1,582 "," 8,442 "," 10,058 "," 13,059 "," 15,531 "," 14,627 "," 14,243 "," 16,533 "," 16,444 "," 17,771 "," 18,331 "," 17,340 "," 15,105 "," 11,641 "," 7,364 "," 6,456 "," 4,541 "," 2,690 "," 1,155 ", 268 , 43 
 臺 東 縣 , 男 ," 113,378 ", 740 ," 3,377 ", 847 , 778 , 890 , 862 ," 4,436 "," 5,333 "," 6,774 "," 8,048 "," 7,813 "," 7,648 "," 8,707 "," 8,679 "," 9,600 "," 9,948 "," 9,113 "," 7,583 "," 5,496 "," 3,346 "," 2,819 "," 1,926 "," 1,250 ", 588 , 130 , 24 
, 女 ," 106,162 ", 665 ," 3,116 ", 729 , 852 , 815 , 720 ," 4,006 "," 4,725 "," 6,285 "," 7,483 "," 6,814 "," 6,595 "," 7,826 "," 7,765 "," 8,171 "," 8,383 "," 8,227 "," 7,522 "," 6,145 "," 4,018 "," 3,637 "," 2,615 "," 1,440 ", 567 , 138 , 19 
, 計 ," 329,237 "," 2,232 "," 10,507 "," 2,604 "," 2,662 "," 2,615 "," 2,626 "," 12,796 "," 14,552 "," 19,137 "," 23,791 "," 22,303 "," 21,793 "," 25,457 "," 24,575 "," 25,674 "," 26,155 "," 26,148 "," 23,645 "," 17,815 "," 10,790 "," 9,381 "," 6,445 "," 3,884 "," 1,699 ", 392 , 66 
 花 蓮 縣 , 男 ," 167,179 "," 1,162 "," 5,464 "," 1,348 "," 1,395 "," 1,374 "," 1,347 "," 6,738 "," 7,613 "," 10,037 "," 12,270 "," 11,635 "," 11,459 "," 13,285 "," 12,449 "," 13,162 "," 13,676 "," 13,063 "," 11,848 "," 8,530 "," 4,961 "," 4,112 "," 2,752 "," 1,824 ", 903 , 199 , 37 
, 女 ," 162,058 "," 1,070 "," 5,043 "," 1,256 "," 1,267 "," 1,241 "," 1,279 "," 6,058 "," 6,939 "," 9,100 "," 11,521 "," 10,668 "," 10,334 "," 12,172 "," 12,126 "," 12,512 "," 12,479 "," 13,085 "," 11,797 "," 9,285 "," 5,829 "," 5,269 "," 3,693 "," 2,060 ", 796 , 193 , 29 
, 計 ," 104,073 ", 950 ," 3,413 ", 990 , 874 , 831 , 718 ," 3,148 "," 3,827 "," 6,055 "," 8,505 "," 7,731 "," 7,684 "," 8,521 "," 7,883 "," 7,772 "," 8,050 "," 7,756 "," 6,608 "," 5,168 "," 3,153 "," 2,848 "," 2,563 "," 1,636 ", 628 , 165 , 9 
 澎 湖 縣 , 男 ," 53,648 ", 520 ," 1,814 ", 519 , 473 , 436 , 386 ," 1,632 "," 2,003 "," 3,204 "," 4,596 "," 4,136 "," 3,956 "," 4,274 "," 4,002 "," 4,114 "," 4,338 "," 4,088 "," 3,476 "," 2,567 "," 1,496 "," 1,290 "," 1,122 ", 713 , 244 , 60 , 3 
, 女 ," 50,425 ", 430 ," 1,599 ", 471 , 401 , 395 , 332 ," 1,516 "," 1,824 "," 2,851 "," 3,909 "," 3,595 "," 3,728 "," 4,247 "," 3,881 "," 3,658 "," 3,712 "," 3,668 "," 3,132 "," 2,601 "," 1,657 "," 1,558 "," 1,441 ", 923 , 384 , 105 , 6 
, 計 ," 371,458 "," 2,082 "," 9,421 "," 2,456 "," 2,436 "," 2,252 "," 2,277 "," 12,939 "," 15,159 "," 21,139 "," 26,598 "," 26,409 "," 23,767 "," 28,225 "," 28,127 "," 30,204 "," 31,909 "," 32,277 "," 28,177 "," 21,352 "," 10,804 "," 10,272 "," 6,559 "," 3,887 "," 1,685 ", 379 , 87 
 基 隆 市 , 男 ," 185,870 "," 1,059 "," 4,880 "," 1,237 "," 1,284 "," 1,159 "," 1,200 "," 6,683 "," 7,960 "," 10,988 "," 13,870 "," 13,977 "," 12,379 "," 14,210 "," 14,040 "," 15,088 "," 16,035 "," 16,064 "," 13,651 "," 10,147 "," 4,985 "," 4,414 "," 2,642 "," 1,762 ", 803 , 185 , 48 
, 女 ," 185,588 "," 1,023 "," 4,541 "," 1,219 "," 1,152 "," 1,093 "," 1,077 "," 6,256 "," 7,199 "," 10,151 "," 12,728 "," 12,432 "," 11,388 "," 14,015 "," 14,087 "," 15,116 "," 15,874 "," 16,213 "," 14,526 "," 11,205 "," 5,819 "," 5,858 "," 3,917 "," 2,125 ", 882 , 194 , 39 
, 計 ," 441,132 "," 4,095 "," 20,712 "," 4,821 "," 5,255 "," 5,498 "," 5,138 "," 26,458 "," 24,951 "," 26,979 "," 28,368 "," 27,409 "," 31,040 "," 42,683 "," 38,477 "," 34,984 "," 31,273 "," 28,515 "," 24,432 "," 18,596 "," 10,798 "," 9,031 "," 5,979 "," 4,048 "," 1,836 ", 404 , 64 
 新 竹 市 , 男 ," 217,831 "," 2,110 "," 10,686 "," 2,456 "," 2,737 "," 2,820 "," 2,673 "," 13,864 "," 12,986 "," 14,053 "," 14,577 "," 14,189 "," 15,164 "," 20,443 "," 18,761 "," 17,152 "," 15,644 "," 13,972 "," 11,588 "," 8,638 "," 4,807 "," 3,732 "," 2,431 "," 1,889 ", 924 , 191 , 30 
, 女 ," 223,301 "," 1,985 "," 10,026 "," 2,365 "," 2,518 "," 2,678 "," 2,465 "," 12,594 "," 11,965 "," 12,926 "," 13,791 "," 13,220 "," 15,876 "," 22,240 "," 19,716 "," 17,832 "," 15,629 "," 14,543 "," 12,844 "," 9,958 "," 5,991 "," 5,299 "," 3,548 "," 2,159 ", 912 , 213 , 34 
, 計 ," 269,398 "," 1,787 "," 8,926 "," 2,229 "," 2,202 "," 2,298 "," 2,197 "," 12,544 "," 14,347 "," 18,000 "," 19,484 "," 17,782 "," 17,876 "," 21,534 "," 20,724 "," 20,788 "," 20,921 "," 19,543 "," 17,002 "," 13,632 "," 8,042 "," 7,108 "," 5,019 "," 2,925 "," 1,145 ", 233 , 36 
 嘉 義 市 , 男 ," 130,974 ", 946 ," 4,580 "," 1,121 "," 1,115 "," 1,175 "," 1,169 "," 6,619 "," 7,495 "," 9,433 "," 9,991 "," 9,158 "," 8,855 "," 10,234 "," 9,451 "," 9,721 "," 10,031 "," 9,458 "," 8,134 "," 6,286 "," 3,597 "," 3,048 "," 2,003 "," 1,264 ", 540 , 114 , 16 
, 女 ," 138,424 ", 841 ," 4,346 "," 1,108 "," 1,087 "," 1,123 "," 1,028 "," 5,925 "," 6,852 "," 8,567 "," 9,493 "," 8,624 "," 9,021 "," 11,300 "," 11,273 "," 11,067 "," 10,890 "," 10,085 "," 8,868 "," 7,346 "," 4,445 "," 4,060 "," 3,016 "," 1,661 ", 605 , 119 , 20 
, 計 ," 150,336 "," 1,285 "," 5,113 "," 1,402 "," 1,351 "," 1,298 "," 1,062 "," 4,384 "," 4,312 "," 7,450 "," 13,010 "," 12,160 "," 11,230 "," 11,450 "," 10,703 "," 11,902 "," 13,839 "," 13,673 "," 11,633 "," 6,671 "," 3,771 "," 3,127 "," 2,423 "," 1,362 ", 593 , 194 , 51 
 福 建 省 , 男 ," 76,071 ", 676 ," 2,680 ", 748 , 707 , 667 , 558 ," 2,264 "," 2,299 "," 3,807 "," 6,497 "," 6,153 "," 5,617 "," 5,628 "," 5,291 "," 6,169 "," 6,995 "," 7,143 "," 6,058 "," 3,392 "," 1,943 "," 1,551 "," 1,159 ", 505 , 168 , 65 , 11 
, 女 ," 74,265 ", 609 ," 2,433 ", 654 , 644 , 631 , 504 ," 2,120 "," 2,013 "," 3,643 "," 6,513 "," 6,007 "," 5,613 "," 5,822 "," 5,412 "," 5,733 "," 6,844 "," 6,530 "," 5,575 "," 3,279 "," 1,828 "," 1,576 "," 1,264 ", 857 , 425 , 129 , 40 
, 計 ," 137,456 "," 1,157 "," 4,570 "," 1,248 "," 1,204 "," 1,156 ", 962 ," 3,931 "," 3,862 "," 6,805 "," 12,079 "," 11,073 "," 10,274 "," 10,355 "," 9,708 "," 10,893 "," 12,704 "," 12,548 "," 10,666 "," 6,137 "," 3,472 "," 2,936 "," 2,260 "," 1,264 ", 541 , 172 , 49 
