 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國101年底 ,,,,,,,,,,,,,, 中華民國101年底 ,,,,,,,,   單位：人 
, 女 ," 1,387,865 "," 14,206 "," 48,135 "," 13,961 "," 11,064 "," 11,890 "," 11,220 "," 53,577 "," 67,747 "," 76,887 "," 74,378 "," 86,337 "," 119,706 "," 115,454 "," 115,735 "," 114,713 "," 113,430 "," 109,018 "," 91,668 "," 54,634 "," 48,424 "," 35,599 "," 25,591 "," 15,216 "," 5,765 "," 1,377 ", 268 
, 計 ," 2,684,893 "," 26,995 "," 94,202 "," 24,684 "," 20,563 "," 24,164 "," 24,791 "," 135,862 "," 174,152 "," 204,151 "," 198,237 "," 204,288 "," 241,582 "," 217,677 "," 215,562 "," 217,669 "," 204,637 "," 175,580 "," 131,102 "," 73,587 "," 64,488 "," 46,308 "," 34,408 "," 17,656 "," 5,482 "," 1,102 ", 166 
 臺 中 市 , 男 ," 1,333,194 "," 13,948 "," 49,078 "," 12,807 "," 10,751 "," 12,648 "," 12,872 "," 70,642 "," 90,581 "," 106,079 "," 102,853 "," 103,326 "," 119,866 "," 105,484 "," 103,333 "," 104,738 "," 99,342 "," 85,352 "," 63,525 "," 34,828 "," 29,606 "," 20,802 "," 17,540 "," 9,296 "," 2,514 ", 396 , 65 
, 女 ," 1,351,699 "," 13,047 "," 45,124 "," 11,877 "," 9,812 "," 11,516 "," 11,919 "," 65,220 "," 83,571 "," 98,072 "," 95,384 "," 100,962 "," 121,716 "," 112,193 "," 112,229 "," 112,931 "," 105,295 "," 90,228 "," 67,577 "," 38,759 "," 34,882 "," 25,506 "," 16,868 "," 8,360 "," 2,968 ", 706 , 101 
, 計 ," 1,881,645 "," 16,893 "," 57,410 "," 14,576 "," 12,321 "," 15,066 "," 15,447 "," 80,039 "," 103,485 "," 126,330 "," 130,374 "," 138,979 "," 165,130 "," 147,643 "," 143,855 "," 153,180 "," 155,295 "," 134,782 "," 105,320 "," 60,462 "," 57,791 "," 47,561 "," 34,118 "," 16,476 "," 5,355 "," 1,039 ", 128 
 臺 南 市 , 男 ," 945,004 "," 8,777 "," 29,885 "," 7,653 "," 6,503 "," 7,777 "," 7,952 "," 41,822 "," 54,070 "," 65,455 "," 67,641 "," 70,555 "," 83,394 "," 73,599 "," 71,378 "," 76,747 "," 78,374 "," 68,127 "," 52,615 "," 29,047 "," 26,638 "," 21,093 "," 15,856 "," 7,426 "," 2,095 ", 358 , 52 
, 女 ," 936,641 "," 8,116 "," 27,525 "," 6,923 "," 5,818 "," 7,289 "," 7,495 "," 38,217 "," 49,415 "," 60,875 "," 62,733 "," 68,424 "," 81,736 "," 74,044 "," 72,477 "," 76,433 "," 76,921 "," 66,655 "," 52,705 "," 31,415 "," 31,153 "," 26,468 "," 18,262 "," 9,050 "," 3,260 ", 681 , 76 
, 計 ," 2,778,659 "," 23,841 "," 83,388 "," 21,643 "," 18,275 "," 21,319 "," 22,151 "," 119,502 "," 154,732 "," 187,078 "," 188,784 "," 199,588 "," 245,175 "," 232,348 "," 224,796 "," 224,140 "," 221,337 "," 205,723 "," 166,267 "," 94,261 "," 81,734 "," 56,779 "," 40,893 "," 20,845 "," 6,192 "," 1,101 ", 155 
 高 雄 市 , 男 ," 1,387,931 "," 12,327 "," 43,137 "," 11,305 "," 9,381 "," 11,017 "," 11,434 "," 62,307 "," 80,410 "," 97,092 "," 98,148 "," 101,713 "," 122,335 "," 115,348 "," 112,044 "," 112,028 "," 108,304 "," 99,162 "," 79,490 "," 45,067 "," 37,636 "," 25,662 "," 21,256 "," 11,015 "," 2,910 ", 468 , 72 
, 女 ," 1,390,728 "," 11,514 "," 40,251 "," 10,338 "," 8,894 "," 10,302 "," 10,717 "," 57,195 "," 74,322 "," 89,986 "," 90,636 "," 97,875 "," 122,840 "," 117,000 "," 112,752 "," 112,112 "," 113,033 "," 106,561 "," 86,777 "," 49,194 "," 44,098 "," 31,117 "," 19,637 "," 9,830 "," 3,282 ", 633 , 83 
, 計 ," 9,233,673 "," 82,468 "," 300,897 "," 76,486 "," 67,087 "," 77,398 "," 79,926 "," 441,444 "," 564,720 "," 662,324 "," 652,074 "," 668,306 "," 784,561 "," 717,508 "," 712,318 "," 728,876 "," 706,638 "," 612,944 "," 482,544 "," 296,563 "," 296,442 "," 232,145 "," 170,670 "," 86,197 "," 27,767 "," 5,407 ", 860 
 臺 灣 省 , 男 ," 4,711,712 "," 42,787 "," 157,128 "," 39,562 "," 34,980 "," 40,503 "," 42,083 "," 231,598 "," 295,397 "," 344,625 "," 340,149 "," 343,333 "," 397,554 "," 364,970 "," 368,252 "," 381,432 "," 366,194 "," 311,566 "," 240,514 "," 143,281 "," 139,394 "," 105,807 "," 82,577 "," 41,102 "," 11,530 "," 2,120 ", 402 
, 女 ," 4,521,961 "," 39,681 "," 143,769 "," 36,924 "," 32,107 "," 36,895 "," 37,843 "," 209,846 "," 269,323 "," 317,699 "," 311,925 "," 324,973 "," 387,007 "," 352,538 "," 344,066 "," 347,444 "," 340,444 "," 301,378 "," 242,030 "," 153,282 "," 157,048 "," 126,338 "," 88,093 "," 45,095 "," 16,237 "," 3,287 ", 458 
, 計 ," 458,595 "," 3,731 "," 13,627 "," 3,455 "," 3,166 "," 3,528 "," 3,478 "," 20,023 "," 26,584 "," 33,806 "," 33,710 "," 33,228 "," 36,468 "," 33,424 "," 34,950 "," 36,491 "," 35,979 "," 31,465 "," 23,972 "," 15,362 "," 17,117 "," 13,219 "," 9,078 "," 4,488 "," 1,518 ", 308 , 47 
 宜 蘭 縣 , 男 ," 233,276 "," 1,956 "," 7,121 "," 1,809 "," 1,612 "," 1,858 "," 1,842 "," 10,383 "," 13,854 "," 17,557 "," 17,653 "," 17,063 "," 18,638 "," 17,010 "," 18,007 "," 19,017 "," 18,316 "," 15,876 "," 11,947 "," 7,514 "," 8,164 "," 6,172 "," 4,240 "," 2,048 ", 598 , 119 , 23 
, 女 ," 225,319 "," 1,775 "," 6,506 "," 1,646 "," 1,554 "," 1,670 "," 1,636 "," 9,640 "," 12,730 "," 16,249 "," 16,057 "," 16,165 "," 17,830 "," 16,414 "," 16,943 "," 17,474 "," 17,663 "," 15,589 "," 12,025 "," 7,848 "," 8,953 "," 7,047 "," 4,838 "," 2,440 ", 920 , 189 , 24 
, 計 ," 2,030,161 "," 19,069 "," 73,622 "," 18,479 "," 15,999 "," 19,049 "," 20,095 "," 110,557 "," 137,734 "," 155,831 "," 148,067 "," 148,118 "," 182,112 "," 171,448 "," 169,454 "," 166,348 "," 152,359 "," 128,114 "," 93,062 "," 51,371 "," 43,463 "," 30,729 "," 28,123 "," 15,057 "," 4,468 ", 900 , 155 
 桃 園 縣 , 男 ," 1,020,819 "," 9,762 "," 38,309 "," 9,557 "," 8,294 "," 9,986 "," 10,472 "," 58,010 "," 72,040 "," 81,288 "," 77,559 "," 75,718 "," 90,026 "," 84,780 "," 83,624 "," 82,174 "," 75,025 "," 62,011 "," 44,087 "," 23,771 "," 19,358 "," 14,075 "," 17,215 "," 9,221 "," 2,284 ", 410 , 72 
, 女 ," 1,009,342 "," 9,307 "," 35,313 "," 8,922 "," 7,705 "," 9,063 "," 9,623 "," 52,547 "," 65,694 "," 74,543 "," 70,508 "," 72,400 "," 92,086 "," 86,668 "," 85,830 "," 84,174 "," 77,334 "," 66,103 "," 48,975 "," 27,600 "," 24,105 "," 16,654 "," 10,908 "," 5,836 "," 2,184 ", 490 , 83 
, 計 ," 523,993 "," 6,008 "," 22,963 "," 5,731 "," 4,996 "," 6,055 "," 6,181 "," 30,597 "," 34,136 "," 38,441 "," 35,996 "," 34,387 "," 45,928 "," 46,326 "," 43,152 "," 40,154 "," 36,263 "," 29,387 "," 22,314 "," 14,781 "," 15,777 "," 12,169 "," 8,705 "," 4,642 "," 1,456 ", 360 , 51 
 新 竹 縣 , 男 ," 268,829 "," 3,058 "," 12,005 "," 2,962 "," 2,602 "," 3,180 "," 3,261 "," 15,972 "," 17,887 "," 20,065 "," 18,804 "," 17,354 "," 22,524 "," 23,220 "," 22,502 "," 21,191 "," 19,365 "," 15,219 "," 11,296 "," 7,314 "," 7,763 "," 5,879 "," 4,415 "," 2,235 ", 616 , 130 , 15 
, 女 ," 255,164 "," 2,950 "," 10,958 "," 2,769 "," 2,394 "," 2,875 "," 2,920 "," 14,625 "," 16,249 "," 18,376 "," 17,192 "," 17,033 "," 23,404 "," 23,106 "," 20,650 "," 18,963 "," 16,898 "," 14,168 "," 11,018 "," 7,467 "," 8,014 "," 6,290 "," 4,290 "," 2,407 ", 840 , 230 , 36 
, 計 ," 563,976 "," 5,927 "," 18,862 "," 5,222 "," 4,198 "," 4,654 "," 4,788 "," 26,404 "," 32,529 "," 39,600 "," 41,117 "," 42,314 "," 47,844 "," 41,165 "," 40,986 "," 42,137 "," 42,563 "," 36,932 "," 29,234 "," 19,116 "," 20,212 "," 16,326 "," 12,152 "," 5,998 "," 2,085 ", 424 , 49 
 苗 栗 縣 , 男 ," 291,598 "," 3,056 "," 9,770 "," 2,675 "," 2,173 "," 2,420 "," 2,502 "," 14,041 "," 17,125 "," 20,633 "," 21,255 "," 21,520 "," 24,447 "," 21,596 "," 21,986 "," 22,568 "," 22,658 "," 19,399 "," 14,889 "," 9,596 "," 10,057 "," 7,767 "," 5,604 "," 2,645 ", 800 , 165 , 21 
, 女 ," 272,378 "," 2,871 "," 9,092 "," 2,547 "," 2,025 "," 2,234 "," 2,286 "," 12,363 "," 15,404 "," 18,967 "," 19,862 "," 20,794 "," 23,397 "," 19,569 "," 19,000 "," 19,569 "," 19,905 "," 17,533 "," 14,345 "," 9,520 "," 10,155 "," 8,559 "," 6,548 "," 3,353 "," 1,285 ", 259 , 28 
, 計 ," 1,299,868 "," 12,770 "," 43,327 "," 11,393 "," 9,629 "," 11,104 "," 11,201 "," 61,923 "," 79,269 "," 92,162 "," 95,241 "," 103,169 "," 115,542 "," 98,073 "," 91,097 "," 96,158 "," 96,773 "," 84,517 "," 67,704 "," 42,038 "," 43,446 "," 35,650 "," 24,427 "," 11,890 "," 3,914 ", 680 , 98 
 彰 化 縣 , 男 ," 665,895 "," 6,675 "," 22,513 "," 5,838 "," 5,036 "," 5,847 "," 5,792 "," 32,645 "," 41,575 "," 48,112 "," 50,130 "," 53,227 "," 59,405 "," 50,739 "," 47,653 "," 50,310 "," 50,480 "," 43,517 "," 34,297 "," 20,896 "," 20,910 "," 16,084 "," 10,610 "," 4,630 "," 1,268 ", 189 , 30 
, 女 ," 633,973 "," 6,095 "," 20,814 "," 5,555 "," 4,593 "," 5,257 "," 5,409 "," 29,278 "," 37,694 "," 44,050 "," 45,111 "," 49,942 "," 56,137 "," 47,334 "," 43,444 "," 45,848 "," 46,293 "," 41,000 "," 33,407 "," 21,142 "," 22,536 "," 19,566 "," 13,817 "," 7,260 "," 2,646 ", 491 , 68 
, 計 ," 520,196 "," 3,896 "," 14,295 "," 3,572 "," 3,304 "," 3,606 "," 3,813 "," 22,101 "," 30,060 "," 36,895 "," 37,477 "," 38,032 "," 41,178 "," 35,603 "," 38,054 "," 41,184 "," 42,187 "," 36,850 "," 29,843 "," 18,462 "," 19,676 "," 15,694 "," 11,191 "," 5,440 "," 1,711 ", 332 , 35 
 南 投 縣 , 男 ," 267,300 "," 2,031 "," 7,390 "," 1,821 "," 1,722 "," 1,892 "," 1,955 "," 11,415 "," 15,710 "," 18,975 "," 19,545 "," 19,888 "," 21,458 "," 18,383 "," 19,979 "," 21,837 "," 22,110 "," 19,175 "," 15,288 "," 9,116 "," 9,451 "," 7,234 "," 5,086 "," 2,423 ", 671 , 122 , 13 
, 女 ," 252,896 "," 1,865 "," 6,905 "," 1,751 "," 1,582 "," 1,714 "," 1,858 "," 10,686 "," 14,350 "," 17,920 "," 17,932 "," 18,144 "," 19,720 "," 17,220 "," 18,075 "," 19,347 "," 20,077 "," 17,675 "," 14,555 "," 9,346 "," 10,225 "," 8,460 "," 6,105 "," 3,017 "," 1,040 ", 210 , 22 
, 計 ," 710,991 "," 5,805 "," 21,105 "," 5,308 "," 4,722 "," 5,419 "," 5,656 "," 31,545 "," 41,603 "," 46,714 "," 45,297 "," 50,982 "," 58,841 "," 53,140 "," 51,584 "," 54,393 "," 52,741 "," 46,697 "," 40,380 "," 28,422 "," 30,135 "," 24,341 "," 16,571 "," 7,720 "," 2,477 ", 444 , 54 
 雲 林 縣 , 男 ," 370,508 "," 3,072 "," 11,143 "," 2,767 "," 2,506 "," 2,846 "," 3,024 "," 16,716 "," 21,727 "," 24,477 "," 23,626 "," 26,216 "," 30,326 "," 28,096 "," 28,656 "," 31,064 "," 29,400 "," 25,067 "," 21,321 "," 13,944 "," 14,270 "," 10,761 "," 6,844 "," 2,874 ", 783 , 114 , 11 
, 女 ," 340,483 "," 2,733 "," 9,962 "," 2,541 "," 2,216 "," 2,573 "," 2,632 "," 14,829 "," 19,876 "," 22,237 "," 21,671 "," 24,766 "," 28,515 "," 25,044 "," 22,928 "," 23,329 "," 23,341 "," 21,630 "," 19,059 "," 14,478 "," 15,865 "," 13,580 "," 9,727 "," 4,846 "," 1,694 ", 330 , 43 
, 計 ," 533,723 "," 3,719 "," 13,967 "," 3,541 "," 3,141 "," 3,620 "," 3,665 "," 21,068 "," 28,300 "," 34,960 "," 35,707 "," 37,436 "," 41,698 "," 37,603 "," 39,105 "," 43,036 "," 43,255 "," 37,014 "," 31,243 "," 20,130 "," 23,005 "," 19,606 "," 13,833 "," 6,469 "," 2,103 ", 418 , 48 
 嘉 義 縣 , 男 ," 278,219 "," 1,934 "," 7,344 "," 1,825 "," 1,631 "," 1,937 "," 1,951 "," 10,993 "," 14,883 "," 18,151 "," 18,541 "," 19,489 "," 21,627 "," 19,759 "," 21,504 "," 24,377 "," 24,262 "," 20,182 "," 16,408 "," 9,790 "," 10,790 "," 8,771 "," 5,936 "," 2,594 ", 725 , 144 , 15 
, 女 ," 255,504 "," 1,785 "," 6,623 "," 1,716 "," 1,510 "," 1,683 "," 1,714 "," 10,075 "," 13,417 "," 16,809 "," 17,166 "," 17,947 "," 20,071 "," 17,844 "," 17,601 "," 18,659 "," 18,993 "," 16,832 "," 14,835 "," 10,340 "," 12,215 "," 10,835 "," 7,897 "," 3,875 "," 1,378 ", 274 , 33 
, 計 ," 858,441 "," 6,046 "," 22,290 "," 5,411 "," 5,054 "," 5,787 "," 6,038 "," 35,297 "," 48,314 "," 61,027 "," 60,248 "," 61,271 "," 70,146 "," 63,613 "," 65,048 "," 69,449 "," 69,540 "," 62,623 "," 51,076 "," 30,948 "," 30,963 "," 24,012 "," 16,353 "," 7,400 "," 2,320 ", 395 , 62 
 屏 東 縣 , 男 ," 440,761 "," 3,213 "," 11,667 "," 2,777 "," 2,710 "," 2,982 "," 3,198 "," 18,469 "," 25,100 "," 31,850 "," 31,092 "," 31,617 "," 36,494 "," 33,111 "," 34,105 "," 36,901 "," 36,140 "," 31,573 "," 25,803 "," 15,109 "," 14,990 "," 11,203 "," 7,687 "," 3,487 ", 962 , 149 , 39 
, 女 ," 417,680 "," 2,833 "," 10,623 "," 2,634 "," 2,344 "," 2,805 "," 2,840 "," 16,828 "," 23,214 "," 29,177 "," 29,156 "," 29,654 "," 33,652 "," 30,502 "," 30,943 "," 32,548 "," 33,400 "," 31,050 "," 25,273 "," 15,839 "," 15,973 "," 12,809 "," 8,666 "," 3,913 "," 1,358 ", 246 , 23 
, 計 ," 226,252 "," 1,819 "," 6,934 "," 1,808 "," 1,591 "," 1,725 "," 1,810 "," 10,093 "," 13,164 "," 15,566 "," 15,362 "," 15,451 "," 17,503 "," 16,725 "," 17,922 "," 18,707 "," 17,850 "," 15,943 "," 12,743 "," 8,340 "," 7,857 "," 6,172 "," 4,571 "," 2,506 ", 834 , 163 , 27 
 臺 東 縣 , 男 ," 117,808 ", 959 ," 3,601 ", 911 , 822 , 892 , 976 ," 5,328 "," 6,813 "," 8,079 "," 8,060 "," 8,184 "," 9,265 "," 8,936 "," 9,862 "," 10,384 "," 9,518 "," 8,162 "," 6,188 "," 3,935 "," 3,601 "," 2,768 "," 2,287 "," 1,359 ", 419 , 85 , 15 
, 女 ," 108,444 ", 860 ," 3,333 ", 897 , 769 , 833 , 834 ," 4,765 "," 6,351 "," 7,487 "," 7,302 "," 7,267 "," 8,238 "," 7,789 "," 8,060 "," 8,323 "," 8,332 "," 7,781 "," 6,555 "," 4,405 "," 4,256 "," 3,404 "," 2,284 "," 1,147 ", 415 , 78 , 12 
, 計 ," 335,190 "," 2,747 "," 10,065 "," 2,632 "," 2,358 "," 2,496 "," 2,579 "," 14,491 "," 19,086 "," 23,965 "," 23,182 "," 23,333 "," 26,841 "," 25,031 "," 25,776 "," 26,469 "," 26,815 "," 24,692 "," 19,332 "," 12,135 "," 11,085 "," 8,524 "," 6,344 "," 3,725 "," 1,243 ", 246 , 63 
 花 蓮 縣 , 男 ," 172,064 "," 1,452 "," 5,295 "," 1,422 "," 1,234 "," 1,302 "," 1,337 "," 7,617 "," 10,014 "," 12,344 "," 11,922 "," 12,226 "," 14,070 "," 12,895 "," 13,450 "," 14,058 "," 13,661 "," 12,611 "," 9,443 "," 5,780 "," 5,082 "," 3,876 "," 3,300 "," 2,114 ", 662 , 148 , 44 
, 女 ," 163,126 "," 1,295 "," 4,770 "," 1,210 "," 1,124 "," 1,194 "," 1,242 "," 6,874 "," 9,072 "," 11,621 "," 11,260 "," 11,107 "," 12,771 "," 12,136 "," 12,326 "," 12,411 "," 13,154 "," 12,081 "," 9,889 "," 6,355 "," 6,003 "," 4,648 "," 3,044 "," 1,611 ", 581 , 98 , 19 
, 計 ," 98,843 ", 944 ," 2,884 ", 811 , 656 , 745 , 672 ," 3,759 "," 4,833 "," 6,746 "," 7,568 "," 7,424 "," 8,433 "," 7,800 "," 7,390 "," 7,582 "," 7,567 "," 6,521 "," 5,282 "," 3,346 "," 3,225 "," 3,212 "," 2,506 "," 1,271 ", 463 , 76 , 11 
 澎 湖 縣 , 男 ," 50,817 ", 497 ," 1,466 ", 402 , 338 , 373 , 353 ," 1,983 "," 2,543 "," 3,521 "," 3,901 "," 3,881 "," 4,207 "," 3,978 "," 3,953 "," 4,178 "," 4,036 "," 3,455 "," 2,632 "," 1,616 "," 1,531 "," 1,509 "," 1,183 ", 550 , 166 , 27 , 4 
, 女 ," 48,026 ", 447 ," 1,418 ", 409 , 318 , 372 , 319 ," 1,776 "," 2,290 "," 3,225 "," 3,667 "," 3,543 "," 4,226 "," 3,822 "," 3,437 "," 3,404 "," 3,531 "," 3,066 "," 2,650 "," 1,730 "," 1,694 "," 1,703 "," 1,323 ", 721 , 297 , 49 , 7 
, 計 ," 377,153 "," 2,277 "," 8,902 "," 1,955 "," 2,012 "," 2,395 "," 2,540 "," 15,057 "," 21,350 "," 26,811 "," 27,365 "," 25,765 "," 29,692 "," 28,498 "," 30,613 "," 32,553 "," 32,962 "," 29,219 "," 22,531 "," 11,731 "," 11,996 "," 8,588 "," 6,198 "," 3,529 "," 1,198 ", 254 , 64 
 基 隆 市 , 男 ," 189,951 "," 1,180 "," 4,650 "," 1,003 "," 1,034 "," 1,237 "," 1,376 "," 7,885 "," 11,091 "," 13,957 "," 14,361 "," 13,335 "," 15,189 "," 14,356 "," 15,385 "," 16,482 "," 16,585 "," 14,412 "," 10,915 "," 5,520 "," 5,372 "," 3,737 "," 3,032 "," 1,754 ", 589 , 123 , 41 
, 女 ," 187,202 "," 1,097 "," 4,252 ", 952 , 978 ," 1,158 "," 1,164 "," 7,172 "," 10,259 "," 12,854 "," 13,004 "," 12,430 "," 14,503 "," 14,142 "," 15,228 "," 16,071 "," 16,377 "," 14,807 "," 11,616 "," 6,211 "," 6,624 "," 4,851 "," 3,166 "," 1,775 ", 609 , 131 , 23 
, 計 ," 425,071 "," 5,731 "," 19,924 "," 5,244 "," 4,479 "," 5,150 "," 5,051 "," 24,745 "," 28,156 "," 29,243 "," 27,281 "," 28,696 "," 40,455 "," 38,141 "," 35,700 "," 32,390 "," 29,490 "," 25,093 "," 19,258 "," 11,563 "," 10,281 "," 7,526 "," 6,137 "," 3,698 "," 1,233 ", 263 , 67 
 新 竹 市 , 男 ," 210,777 "," 2,920 "," 10,521 "," 2,751 "," 2,335 "," 2,683 "," 2,752 "," 12,910 "," 14,757 "," 15,002 "," 14,130 "," 14,166 "," 19,180 "," 18,483 "," 17,538 "," 16,310 "," 14,705 "," 12,172 "," 9,150 "," 5,305 "," 4,399 "," 3,248 "," 3,063 "," 2,000 ", 641 , 134 , 43 
, 女 ," 214,294 "," 2,811 "," 9,403 "," 2,493 "," 2,144 "," 2,467 "," 2,299 "," 11,835 "," 13,399 "," 14,241 "," 13,151 "," 14,530 "," 21,275 "," 19,658 "," 18,162 "," 16,080 "," 14,785 "," 12,921 "," 10,108 "," 6,258 "," 5,882 "," 4,278 "," 3,074 "," 1,698 ", 592 , 129 , 24 
, 計 ," 271,220 "," 1,979 "," 8,130 "," 1,924 "," 1,782 "," 2,065 "," 2,359 "," 13,784 "," 19,602 "," 20,557 "," 18,456 "," 18,700 "," 21,880 "," 20,918 "," 21,487 "," 21,825 "," 20,294 "," 17,877 "," 14,570 "," 8,818 "," 8,204 "," 6,377 "," 4,481 "," 2,364 ", 744 , 144 , 29 
 嘉 義 市 , 男 ," 133,090 "," 1,022 "," 4,333 "," 1,042 ", 931 ," 1,068 "," 1,292 "," 7,231 "," 10,278 "," 10,614 "," 9,570 "," 9,449 "," 10,698 "," 9,628 "," 10,048 "," 10,581 "," 9,933 "," 8,735 "," 6,850 "," 4,075 "," 3,656 "," 2,723 "," 2,075 "," 1,168 ", 346 , 61 , 16 
, 女 ," 138,130 ", 957 ," 3,797 ", 882 , 851 , 997 ," 1,067 "," 6,553 "," 9,324 "," 9,943 "," 8,886 "," 9,251 "," 11,182 "," 11,290 "," 11,439 "," 11,244 "," 10,361 "," 9,142 "," 7,720 "," 4,743 "," 4,548 "," 3,654 "," 2,406 "," 1,196 ", 398 , 83 , 13 
, 計 ," 124,421 "," 1,502 "," 4,568 "," 1,305 "," 1,086 "," 1,158 "," 1,019 "," 4,127 "," 4,585 "," 8,234 "," 10,331 "," 9,620 "," 10,296 "," 9,498 "," 9,870 "," 10,828 "," 10,586 "," 9,853 "," 6,561 "," 3,945 "," 3,471 "," 2,949 "," 1,876 "," 1,062 ", 465 , 138 , 56 
 福 建 省 , 男 ," 63,510 ", 766 ," 2,359 ", 707 , 563 , 576 , 513 ," 2,200 "," 2,375 "," 4,207 "," 5,178 "," 4,828 "," 4,988 "," 4,741 "," 5,232 "," 5,733 "," 5,609 "," 5,190 "," 3,378 "," 2,080 "," 1,792 "," 1,495 ", 781 , 358 , 163 , 42 , 15 
, 女 ," 60,911 ", 736 ," 2,209 ", 598 , 523 , 582 , 506 ," 1,927 "," 2,210 "," 4,027 "," 5,153 "," 4,792 "," 5,308 "," 4,757 "," 4,638 "," 5,095 "," 4,977 "," 4,663 "," 3,183 "," 1,865 "," 1,679 "," 1,454 "," 1,095 ", 704 , 302 , 96 , 41 
, 計 ," 113,111 "," 1,369 "," 4,133 "," 1,162 ", 999 ," 1,043 ", 929 ," 3,675 "," 4,083 "," 7,503 "," 9,502 "," 8,810 "," 9,288 "," 8,574 "," 8,971 "," 9,812 "," 9,579 "," 8,929 "," 5,975 "," 3,620 "," 3,251 "," 2,739 "," 1,732 ", 971 , 421 , 122 , 52 
 金 門 縣 , 男 ," 57,062 ", 696 ," 2,128 ", 632 , 519 , 511 , 466 ," 1,946 "," 2,105 "," 3,821 "," 4,697 "," 4,378 "," 4,426 "," 4,229 "," 4,681 "," 5,097 "," 5,005 "," 4,635 "," 3,041 "," 1,879 "," 1,664 "," 1,403 ", 713 , 325 , 145 , 34 , 14 
