 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國101年底 ,,,,,,,,,,,,,, 中華民國101年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,315,822 "," 218,944 "," 764,739 "," 200,726 "," 169,383 "," 195,345 "," 199,285 "," 1,068,274 "," 1,359,720 "," 1,615,525 "," 1,615,579 "," 1,688,435 "," 2,038,988 "," 1,874,388 "," 1,837,206 "," 1,874,953 "," 1,838,162 "," 1,636,437 "," 1,284,320 "," 747,480 "," 682,956 "," 509,783 "," 378,576 "," 198,883 "," 66,290 "," 13,585 "," 2,599 "
 總　　計 , 男 ," 11,673,319 "," 113,340 "," 398,219 "," 104,129 "," 88,264 "," 101,654 "," 104,172 "," 558,811 "," 709,152 "," 839,044 "," 840,354 "," 857,626 "," 1,015,792 "," 928,490 "," 912,991 "," 935,207 "," 912,094 "," 803,377 "," 624,453 "," 356,836 "," 315,219 "," 229,340 "," 187,308 "," 98,577 "," 30,022 "," 5,752 "," 1,315 "
, 女 ," 11,642,503 "," 105,604 "," 366,520 "," 96,597 "," 81,119 "," 93,691 "," 95,113 "," 509,463 "," 650,568 "," 776,481 "," 775,225 "," 830,809 "," 1,023,196 "," 945,898 "," 924,215 "," 939,746 "," 926,068 "," 833,060 "," 659,867 "," 390,644 "," 367,737 "," 280,443 "," 191,268 "," 100,306 "," 36,268 "," 7,833 "," 1,284 "
, 計 ," 3,939,305 "," 37,736 "," 124,567 "," 33,438 "," 26,954 "," 31,669 "," 32,506 "," 175,258 "," 216,170 "," 267,859 "," 281,913 "," 298,170 "," 367,141 "," 334,563 "," 317,363 "," 326,037 "," 326,420 "," 292,340 "," 220,372 "," 117,382 "," 92,712 "," 61,117 "," 45,375 "," 25,192 "," 9,012 "," 2,014 ", 592 
 新 北 市 , 男 ," 1,946,607 "," 19,432 "," 65,060 "," 17,462 "," 14,053 "," 16,452 "," 17,093 "," 91,777 "," 112,190 "," 138,924 "," 146,897 "," 150,724 "," 182,258 "," 164,651 "," 155,045 "," 155,019 "," 154,452 "," 137,783 "," 104,445 "," 55,887 "," 42,259 "," 27,156 "," 23,653 "," 13,141 "," 4,558 ", 961 , 335 
, 女 ," 1,992,698 "," 18,304 "," 59,507 "," 15,976 "," 12,901 "," 15,217 "," 15,413 "," 83,481 "," 103,980 "," 128,935 "," 135,016 "," 147,446 "," 184,883 "," 169,912 "," 162,318 "," 171,018 "," 171,968 "," 154,557 "," 115,927 "," 61,495 "," 50,453 "," 33,961 "," 21,722 "," 12,051 "," 4,454 "," 1,053 ", 257 
, 計 ," 2,673,226 "," 29,509 "," 99,707 "," 28,594 "," 23,097 "," 24,571 "," 23,445 "," 112,042 "," 141,876 "," 159,549 "," 153,866 "," 169,484 "," 225,103 "," 215,151 "," 213,442 "," 214,223 "," 213,249 "," 205,215 "," 172,154 "," 101,280 "," 86,318 "," 62,924 "," 51,236 "," 31,455 "," 12,017 "," 2,784 ", 642 
 臺 北 市 , 男 ," 1,285,361 "," 15,303 "," 51,572 "," 14,633 "," 12,033 "," 12,681 "," 12,225 "," 58,465 "," 74,129 "," 82,662 "," 79,488 "," 83,147 "," 105,397 "," 99,697 "," 97,707 "," 99,510 "," 99,819 "," 96,197 "," 80,486 "," 46,646 "," 37,894 "," 27,325 "," 25,645 "," 16,239 "," 6,252 "," 1,407 ", 374 
