 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國100年底 ,,,,,,,,,,,,,, 中華民國100年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,224,912 "," 187,442 "," 769,548 "," 168,973 "," 195,292 "," 199,181 "," 206,102 "," 1,108,386 "," 1,436,414 "," 1,612,237 "," 1,604,002 "," 1,778,838 "," 2,023,066 "," 1,844,591 "," 1,842,060 "," 1,905,738 "," 1,800,906 "," 1,608,114 "," 1,175,321 "," 724,538 "," 669,950 "," 498,980 "," 373,442 "," 186,330 "," 60,206 "," 12,662 "," 2,141 "
 總　　計 , 男 ," 11,645,674 "," 97,271 "," 401,475 "," 88,055 "," 101,637 "," 104,072 "," 107,711 "," 579,777 "," 748,622 "," 837,814 "," 832,933 "," 899,967 "," 1,007,873 "," 914,496 "," 919,426 "," 951,201 "," 893,621 "," 790,656 "," 571,994 "," 345,490 "," 308,671 "," 229,209 "," 189,644 "," 92,019 "," 26,964 "," 5,524 "," 1,027 "
, 女 ," 11,579,238 "," 90,171 "," 368,073 "," 80,918 "," 93,655 "," 95,109 "," 98,391 "," 528,609 "," 687,792 "," 774,423 "," 771,069 "," 878,871 "," 1,015,193 "," 930,095 "," 922,634 "," 954,537 "," 907,285 "," 817,458 "," 603,327 "," 379,048 "," 361,279 "," 269,771 "," 183,798 "," 94,311 "," 33,242 "," 7,138 "," 1,114 "
, 計 ," 3,916,451 "," 32,181 "," 125,127 "," 27,094 "," 31,879 "," 32,519 "," 33,635 "," 180,882 "," 228,694 "," 269,741 "," 280,268 "," 315,599 "," 365,721 "," 329,334 "," 317,079 "," 332,740 "," 319,905 "," 286,645 "," 198,056 "," 109,675 "," 87,781 "," 58,645 "," 44,540 "," 23,458 "," 7,976 "," 1,895 ", 509 
 新 北 市 , 男 ," 1,939,844 "," 16,740 "," 65,396 "," 14,143 "," 16,593 "," 17,115 "," 17,545 "," 94,821 "," 118,512 "," 140,182 "," 145,530 "," 159,395 "," 181,750 "," 162,795 "," 154,798 "," 157,942 "," 151,410 "," 135,766 "," 94,423 "," 52,349 "," 39,840 "," 26,943 "," 23,784 "," 12,311 "," 3,972 ", 904 , 281 
, 女 ," 1,976,607 "," 15,441 "," 59,731 "," 12,951 "," 15,286 "," 15,404 "," 16,090 "," 86,061 "," 110,182 "," 129,559 "," 134,738 "," 156,204 "," 183,971 "," 166,539 "," 162,281 "," 174,798 "," 168,495 "," 150,879 "," 103,633 "," 57,326 "," 47,941 "," 31,702 "," 20,756 "," 11,147 "," 4,004 ", 991 , 228 
, 計 ," 2,650,968 "," 25,052 "," 93,535 "," 22,288 "," 23,995 "," 23,394 "," 23,858 "," 113,973 "," 150,406 "," 159,484 "," 153,631 "," 177,500 "," 216,540 "," 210,747 "," 214,188 "," 218,318 "," 213,903 "," 205,816 "," 159,676 "," 96,016 "," 83,836 "," 62,406 "," 51,362 "," 30,390 "," 10,984 "," 2,712 ", 493 
 臺 北 市 , 男 ," 1,276,343 "," 12,866 "," 48,379 "," 11,597 "," 12,359 "," 12,170 "," 12,253 "," 59,711 "," 78,478 "," 82,727 "," 79,256 "," 87,077 "," 101,008 "," 96,987 "," 97,876 "," 101,678 "," 100,121 "," 97,067 "," 74,714 "," 44,145 "," 36,541 "," 27,906 "," 26,479 "," 15,976 "," 5,643 "," 1,433 ", 275 
