 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國100年底 ,,,,,,,,,,,,,, 中華民國100年底 ,,,,,,,,   單位：人 
, 女 ," 1,374,625 "," 12,186 "," 45,156 "," 10,691 "," 11,636 "," 11,224 "," 11,605 "," 54,262 "," 71,928 "," 76,757 "," 74,375 "," 90,423 "," 115,532 "," 113,760 "," 116,312 "," 116,640 "," 113,782 "," 108,749 "," 84,962 "," 51,871 "," 47,295 "," 34,500 "," 24,883 "," 14,414 "," 5,341 "," 1,279 ", 218 
, 計 ," 2,664,394 "," 22,800 "," 94,161 "," 20,157 "," 23,629 "," 24,337 "," 26,038 "," 139,939 "," 184,435 "," 202,426 "," 195,804 "," 213,299 "," 237,968 "," 213,603 "," 216,212 "," 219,520 "," 198,585 "," 171,563 "," 118,927 "," 71,034 "," 62,703 "," 45,095 "," 33,914 "," 16,387 "," 4,855 "," 1,026 ", 138 
 臺 中 市 , 男 ," 1,324,894 "," 11,826 "," 49,002 "," 10,537 "," 12,390 "," 12,625 "," 13,450 "," 72,900 "," 96,035 "," 105,016 "," 101,564 "," 107,364 "," 118,110 "," 103,092 "," 104,104 "," 105,962 "," 96,581 "," 83,654 "," 57,735 "," 33,477 "," 28,749 "," 20,710 "," 17,872 "," 8,529 "," 2,175 ", 385 , 52 
, 女 ," 1,339,500 "," 10,974 "," 45,159 "," 9,620 "," 11,239 "," 11,712 "," 12,588 "," 67,039 "," 88,400 "," 97,410 "," 94,240 "," 105,935 "," 119,858 "," 110,511 "," 112,108 "," 113,558 "," 102,004 "," 87,909 "," 61,192 "," 37,557 "," 33,954 "," 24,385 "," 16,042 "," 7,858 "," 2,680 ", 641 , 86 
, 計 ," 1,876,960 "," 13,602 "," 57,754 "," 12,024 "," 14,693 "," 15,317 "," 15,720 "," 82,769 "," 110,341 "," 126,082 "," 131,091 "," 145,959 "," 163,859 "," 143,987 "," 145,520 "," 157,082 "," 152,407 "," 131,003 "," 96,811 "," 58,900 "," 57,926 "," 47,029 "," 33,381 "," 15,540 "," 4,905 ", 916 , 96 
 臺 南 市 , 男 ," 943,899 "," 7,128 "," 30,026 "," 6,327 "," 7,561 "," 7,892 "," 8,246 "," 43,238 "," 57,672 "," 65,246 "," 67,924 "," 73,818 "," 82,963 "," 71,475 "," 72,513 "," 79,070 "," 77,333 "," 66,205 "," 48,192 "," 28,280 "," 26,598 "," 21,230 "," 15,775 "," 6,948 "," 1,894 ", 332 , 39 
, 女 ," 933,061 "," 6,474 "," 27,728 "," 5,697 "," 7,132 "," 7,425 "," 7,474 "," 39,531 "," 52,669 "," 60,836 "," 63,167 "," 72,141 "," 80,896 "," 72,512 "," 73,007 "," 78,012 "," 75,074 "," 64,798 "," 48,619 "," 30,620 "," 31,328 "," 25,799 "," 17,606 "," 8,592 "," 3,011 ", 584 , 57 
, 計 ," 2,774,470 "," 20,381 "," 84,764 "," 18,397 "," 21,483 "," 21,955 "," 22,929 "," 124,066 "," 163,959 "," 187,012 "," 188,121 "," 211,849 "," 246,337 "," 229,390 "," 225,187 "," 227,373 "," 218,848 "," 203,415 "," 152,316 "," 90,635 "," 79,222 "," 55,026 "," 40,299 "," 19,528 "," 5,616 ", 998 , 128 
 高 雄 市 , 男 ," 1,388,530 "," 10,674 "," 44,008 "," 9,469 "," 11,127 "," 11,322 "," 12,090 "," 64,519 "," 85,113 "," 97,167 "," 97,719 "," 107,403 "," 122,926 "," 114,115 "," 113,023 "," 113,288 "," 106,892 "," 98,282 "," 73,199 "," 43,323 "," 36,252 "," 25,737 "," 21,595 "," 10,166 "," 2,622 ", 447 , 60 
, 女 ," 1,385,940 "," 9,707 "," 40,756 "," 8,928 "," 10,356 "," 10,633 "," 10,839 "," 59,547 "," 78,846 "," 89,845 "," 90,402 "," 104,446 "," 123,411 "," 115,275 "," 112,164 "," 114,085 "," 111,956 "," 105,133 "," 79,117 "," 47,312 "," 42,970 "," 29,289 "," 18,704 "," 9,362 "," 2,994 ", 551 , 68 
, 計 ," 9,227,680 "," 72,180 "," 309,828 "," 67,900 "," 78,418 "," 80,585 "," 82,925 "," 462,716 "," 593,903 "," 659,884 "," 646,065 "," 705,652 "," 783,240 "," 708,772 "," 714,984 "," 740,731 "," 687,672 "," 601,132 "," 444,006 "," 294,502 "," 295,020 "," 227,986 "," 168,256 "," 80,006 "," 25,436 "," 4,971 ", 738 
 臺 灣 省 , 男 ," 4,713,700 "," 37,354 "," 162,385 "," 35,404 "," 41,009 "," 42,412 "," 43,560 "," 242,494 "," 310,386 "," 343,607 "," 336,393 "," 360,457 "," 396,650 "," 361,508 "," 372,265 "," 387,932 "," 356,134 "," 305,213 "," 220,866 "," 141,913 "," 138,870 "," 105,265 "," 83,467 "," 37,759 "," 10,493 "," 1,980 ", 309 
, 女 ," 4,513,980 "," 34,826 "," 147,443 "," 32,496 "," 37,409 "," 38,173 "," 39,365 "," 220,222 "," 283,517 "," 316,277 "," 309,672 "," 345,195 "," 386,590 "," 347,264 "," 342,719 "," 352,799 "," 331,538 "," 295,919 "," 223,140 "," 152,589 "," 156,150 "," 122,721 "," 84,789 "," 42,247 "," 14,943 "," 2,991 ", 429 
, 計 ," 459,061 "," 3,319 "," 13,924 "," 3,272 "," 3,541 "," 3,485 "," 3,626 "," 21,052 "," 28,604 "," 33,803 "," 33,367 "," 34,923 "," 36,233 "," 33,209 "," 35,445 "," 36,990 "," 34,919 "," 30,738 "," 21,869 "," 15,985 "," 17,020 "," 12,823 "," 8,850 "," 4,274 "," 1,402 ", 269 , 43 
 宜 蘭 縣 , 男 ," 233,661 "," 1,737 "," 7,257 "," 1,666 "," 1,869 "," 1,835 "," 1,887 "," 10,927 "," 14,934 "," 17,580 "," 17,404 "," 17,856 "," 18,526 "," 16,859 "," 18,439 "," 19,224 "," 17,783 "," 15,456 "," 10,869 "," 7,811 "," 8,153 "," 5,981 "," 4,276 "," 1,900 ", 570 , 101 , 18 
, 女 ," 225,400 "," 1,582 "," 6,667 "," 1,606 "," 1,672 "," 1,650 "," 1,739 "," 10,125 "," 13,670 "," 16,223 "," 15,963 "," 17,067 "," 17,707 "," 16,350 "," 17,006 "," 17,766 "," 17,136 "," 15,282 "," 11,000 "," 8,174 "," 8,867 "," 6,842 "," 4,574 "," 2,374 ", 832 , 168 , 25 
, 計 ," 2,013,305 "," 17,163 "," 75,310 "," 15,847 "," 18,889 "," 19,828 "," 20,746 "," 114,281 "," 143,904 "," 154,275 "," 144,772 "," 155,610 "," 180,379 "," 169,176 "," 168,300 "," 167,496 "," 146,921 "," 124,050 "," 83,098 "," 49,120 "," 41,700 "," 30,459 "," 28,572 "," 13,699 "," 4,029 ", 865 , 126 
 桃 園 縣 , 男 ," 1,013,618 "," 8,858 "," 39,348 "," 8,220 "," 9,886 "," 10,338 "," 10,904 "," 59,846 "," 75,155 "," 80,840 "," 75,486 "," 78,941 "," 88,913 "," 83,548 "," 83,381 "," 82,920 "," 72,386 "," 59,958 "," 39,346 "," 22,490 "," 18,584 "," 14,832 "," 18,113 "," 8,179 "," 2,067 ", 374 , 53 
, 女 ," 999,687 "," 8,305 "," 35,962 "," 7,627 "," 9,003 "," 9,490 "," 9,842 "," 54,435 "," 68,749 "," 73,435 "," 69,286 "," 76,669 "," 91,466 "," 85,628 "," 84,919 "," 84,576 "," 74,535 "," 64,092 "," 43,752 "," 26,630 "," 23,116 "," 15,627 "," 10,459 "," 5,520 "," 1,962 ", 491 , 73 
, 計 ," 517,641 "," 5,251 "," 23,370 "," 4,954 "," 6,053 "," 6,162 "," 6,201 "," 31,041 "," 35,294 "," 37,899 "," 34,719 "," 36,186 "," 45,544 "," 45,226 "," 42,183 "," 40,155 "," 34,547 "," 28,475 "," 20,396 "," 15,057 "," 15,851 "," 11,813 "," 8,601 "," 4,294 "," 1,376 ", 317 , 46 
 新 竹 縣 , 男 ," 265,905 "," 2,745 "," 12,270 "," 2,598 "," 3,184 "," 3,265 "," 3,223 "," 16,261 "," 18,523 "," 19,756 "," 18,078 "," 18,119 "," 22,152 "," 22,940 "," 22,062 "," 21,324 "," 18,450 "," 14,693 "," 10,260 "," 7,522 "," 7,819 "," 5,714 "," 4,462 "," 2,040 ", 583 , 120 , 12 
, 女 ," 251,736 "," 2,506 "," 11,100 "," 2,356 "," 2,869 "," 2,897 "," 2,978 "," 14,780 "," 16,771 "," 18,143 "," 16,641 "," 18,067 "," 23,392 "," 22,286 "," 20,121 "," 18,831 "," 16,097 "," 13,782 "," 10,136 "," 7,535 "," 8,032 "," 6,099 "," 4,139 "," 2,254 ", 793 , 197 , 34 
, 計 ," 562,010 "," 4,856 "," 18,773 "," 4,218 "," 4,679 "," 4,832 "," 5,044 "," 27,682 "," 33,967 "," 39,969 "," 40,866 "," 44,332 "," 46,794 "," 40,550 "," 40,926 "," 43,119 "," 41,565 "," 36,220 "," 26,918 "," 19,227 "," 20,541 "," 15,946 "," 11,790 "," 5,624 "," 1,861 ", 437 , 47 
 苗 栗 縣 , 男 ," 291,218 "," 2,502 "," 9,817 "," 2,176 "," 2,437 "," 2,526 "," 2,678 "," 14,810 "," 17,766 "," 20,774 "," 21,148 "," 22,550 "," 24,135 "," 21,338 "," 22,090 "," 23,137 "," 22,120 "," 18,969 "," 13,670 "," 9,700 "," 10,201 "," 7,587 "," 5,546 "," 2,436 ", 738 , 165 , 19 
, 女 ," 270,792 "," 2,354 "," 8,956 "," 2,042 "," 2,242 "," 2,306 "," 2,366 "," 12,872 "," 16,201 "," 19,195 "," 19,718 "," 21,782 "," 22,659 "," 19,212 "," 18,836 "," 19,982 "," 19,445 "," 17,251 "," 13,248 "," 9,527 "," 10,340 "," 8,359 "," 6,244 "," 3,188 "," 1,123 ", 272 , 28 
, 計 ," 1,303,039 "," 11,055 "," 44,411 "," 9,937 "," 11,507 "," 11,425 "," 11,542 "," 65,570 "," 83,199 "," 92,538 "," 95,766 "," 109,214 "," 115,314 "," 95,707 "," 91,539 "," 98,616 "," 94,438 "," 83,426 "," 63,092 "," 41,631 "," 43,575 "," 35,197 "," 23,501 "," 10,973 "," 3,555 ", 636 , 86 
 彰 化 縣 , 男 ," 667,920 "," 5,653 "," 23,242 "," 5,174 "," 6,049 "," 5,904 "," 6,115 "," 34,556 "," 43,500 "," 48,399 "," 50,416 "," 55,969 "," 59,437 "," 49,672 "," 47,961 "," 51,660 "," 49,255 "," 42,933 "," 32,071 "," 20,524 "," 20,969 "," 15,880 "," 10,285 "," 4,204 "," 1,130 ", 180 , 24 
, 女 ," 635,119 "," 5,402 "," 21,169 "," 4,763 "," 5,458 "," 5,521 "," 5,427 "," 31,014 "," 39,699 "," 44,139 "," 45,350 "," 53,245 "," 55,877 "," 46,035 "," 43,578 "," 46,956 "," 45,183 "," 40,493 "," 31,021 "," 21,107 "," 22,606 "," 19,317 "," 13,216 "," 6,769 "," 2,425 ", 456 , 62 
, 計 ," 522,807 "," 3,329 "," 15,164 "," 3,352 "," 3,740 "," 3,894 "," 4,178 "," 23,520 "," 31,767 "," 37,180 "," 37,420 "," 40,120 "," 40,982 "," 35,571 "," 38,653 "," 42,477 "," 41,143 "," 36,171 "," 27,465 "," 18,755 "," 19,818 "," 15,411 "," 10,885 "," 5,030 "," 1,622 ", 283 , 41 
 南 投 縣 , 男 ," 268,979 "," 1,694 "," 7,888 "," 1,737 "," 1,971 "," 1,998 "," 2,182 "," 12,153 "," 16,584 "," 19,163 "," 19,511 "," 20,885 "," 21,285 "," 18,458 "," 20,406 "," 22,516 "," 21,634 "," 18,877 "," 13,974 "," 9,269 "," 9,496 "," 7,200 "," 5,055 "," 2,175 ", 627 , 113 , 16 
, 女 ," 253,828 "," 1,635 "," 7,276 "," 1,615 "," 1,769 "," 1,896 "," 1,996 "," 11,367 "," 15,183 "," 18,017 "," 17,909 "," 19,235 "," 19,697 "," 17,113 "," 18,247 "," 19,961 "," 19,509 "," 17,294 "," 13,491 "," 9,486 "," 10,322 "," 8,211 "," 5,830 "," 2,855 ", 995 , 170 , 25 
, 計 ," 713,556 "," 5,103 "," 22,069 "," 4,859 "," 5,573 "," 5,797 "," 5,840 "," 33,249 "," 43,644 "," 46,010 "," 45,702 "," 54,126 "," 59,318 "," 52,059 "," 51,801 "," 55,701 "," 51,297 "," 46,384 "," 38,079 "," 28,752 "," 30,502 "," 23,898 "," 16,084 "," 6,998 "," 2,339 ", 390 , 51 
 雲 林 縣 , 男 ," 372,365 "," 2,660 "," 11,756 "," 2,601 "," 2,932 "," 3,121 "," 3,102 "," 17,498 "," 22,932 "," 24,036 "," 23,839 "," 27,814 "," 30,698 "," 27,654 "," 29,287 "," 31,797 "," 28,468 "," 24,880 "," 19,932 "," 14,106 "," 14,361 "," 10,600 "," 6,652 "," 2,577 ", 702 , 103 , 13 
, 女 ," 341,191 "," 2,443 "," 10,313 "," 2,258 "," 2,641 "," 2,676 "," 2,738 "," 15,751 "," 20,712 "," 21,974 "," 21,863 "," 26,312 "," 28,620 "," 24,405 "," 22,514 "," 23,904 "," 22,829 "," 21,504 "," 18,147 "," 14,646 "," 16,141 "," 13,298 "," 9,432 "," 4,421 "," 1,637 ", 287 , 38 
, 計 ," 537,942 "," 3,406 "," 15,056 "," 3,257 "," 3,878 "," 3,943 "," 3,978 "," 23,033 "," 29,675 "," 34,727 "," 36,107 "," 39,625 "," 42,542 "," 37,310 "," 39,892 "," 44,146 "," 41,922 "," 36,568 "," 28,999 "," 20,477 "," 23,240 "," 19,410 "," 13,449 "," 5,970 "," 1,992 ", 360 , 36 
 嘉 義 縣 , 男 ," 280,416 "," 1,757 "," 7,906 "," 1,676 "," 2,065 "," 2,079 "," 2,086 "," 11,987 "," 15,604 "," 17,973 "," 18,673 "," 20,571 "," 21,901 "," 19,851 "," 22,157 "," 25,038 "," 23,530 "," 19,835 "," 15,055 "," 9,931 "," 10,909 "," 8,705 "," 5,812 "," 2,380 ", 702 , 128 , 11 
, 女 ," 257,526 "," 1,649 "," 7,150 "," 1,581 "," 1,813 "," 1,864 "," 1,892 "," 11,046 "," 14,071 "," 16,754 "," 17,434 "," 19,054 "," 20,641 "," 17,459 "," 17,735 "," 19,108 "," 18,392 "," 16,733 "," 13,944 "," 10,546 "," 12,331 "," 10,705 "," 7,637 "," 3,590 "," 1,290 ", 232 , 25 
, 計 ," 864,529 "," 5,078 "," 23,593 "," 5,123 "," 5,914 "," 6,220 "," 6,336 "," 37,984 "," 51,709 "," 60,988 "," 60,058 "," 65,056 "," 71,183 "," 63,061 "," 66,489 "," 70,965 "," 68,525 "," 61,560 "," 47,741 "," 30,736 "," 30,810 "," 23,324 "," 16,128 "," 7,015 "," 2,123 ", 355 , 48 
 屏 東 縣 , 男 ," 444,133 "," 2,606 "," 12,388 "," 2,751 "," 3,027 "," 3,284 "," 3,326 "," 19,825 "," 26,976 "," 31,754 "," 30,909 "," 33,397 "," 37,079 "," 32,831 "," 35,167 "," 37,612 "," 35,403 "," 31,158 "," 24,080 "," 15,069 "," 14,994 "," 10,822 "," 7,754 "," 3,274 ", 860 , 147 , 28 
, 女 ," 420,396 "," 2,472 "," 11,205 "," 2,372 "," 2,887 "," 2,936 "," 3,010 "," 18,159 "," 24,733 "," 29,234 "," 29,149 "," 31,659 "," 34,104 "," 30,230 "," 31,322 "," 33,353 "," 33,122 "," 30,402 "," 23,661 "," 15,667 "," 15,816 "," 12,502 "," 8,374 "," 3,741 "," 1,263 ", 208 , 20 
, 計 ," 228,290 "," 1,696 "," 7,244 "," 1,676 "," 1,785 "," 1,872 "," 1,911 "," 10,691 "," 13,916 "," 15,641 "," 15,152 "," 16,712 "," 17,574 "," 17,159 "," 18,145 "," 18,899 "," 17,607 "," 15,709 "," 12,091 "," 8,151 "," 7,843 "," 6,068 "," 4,671 "," 2,413 ", 746 , 140 , 22 
 臺 東 縣 , 男 ," 119,205 ", 845 ," 3,788 ", 871 , 917 ," 1,012 ", 988 ," 5,615 "," 7,206 "," 8,136 "," 8,040 "," 8,744 "," 9,371 "," 9,208 "," 10,059 "," 10,510 "," 9,418 "," 7,946 "," 5,868 "," 3,895 "," 3,580 "," 2,750 "," 2,426 "," 1,330 ", 385 , 73 , 12 
, 女 ," 109,085 ", 851 ," 3,456 ", 805 , 868 , 860 , 923 ," 5,076 "," 6,710 "," 7,505 "," 7,112 "," 7,968 "," 8,203 "," 7,951 "," 8,086 "," 8,389 "," 8,189 "," 7,763 "," 6,223 "," 4,256 "," 4,263 "," 3,318 "," 2,245 "," 1,083 ", 361 , 67 , 10 
, 計 ," 336,838 "," 2,511 "," 10,287 "," 2,396 "," 2,538 "," 2,622 "," 2,731 "," 15,251 "," 20,416 "," 24,097 "," 22,810 "," 24,833 "," 26,949 "," 25,113 "," 26,109 "," 26,874 "," 26,661 "," 24,151 "," 18,050 "," 12,009 "," 10,863 "," 8,359 "," 6,543 "," 3,506 "," 1,138 ", 256 , 52 
 花 蓮 縣 , 男 ," 173,205 "," 1,361 "," 5,381 "," 1,251 "," 1,329 "," 1,369 "," 1,432 "," 7,982 "," 10,650 "," 12,411 "," 11,740 "," 12,956 "," 14,122 "," 12,953 "," 13,815 "," 14,193 "," 13,594 "," 12,261 "," 8,841 "," 5,630 "," 5,029 "," 3,886 "," 3,558 "," 2,029 ", 626 , 156 , 31 
, 女 ," 163,633 "," 1,150 "," 4,906 "," 1,145 "," 1,209 "," 1,253 "," 1,299 "," 7,269 "," 9,766 "," 11,686 "," 11,070 "," 11,877 "," 12,827 "," 12,160 "," 12,294 "," 12,681 "," 13,067 "," 11,890 "," 9,209 "," 6,379 "," 5,834 "," 4,473 "," 2,985 "," 1,477 ", 512 , 100 , 21 
, 計 ," 97,157 ", 779 ," 2,815 ", 661 , 746 , 705 , 703 ," 3,975 "," 5,140 "," 6,591 "," 7,178 "," 7,602 "," 8,273 "," 7,594 "," 7,340 "," 7,462 "," 7,318 "," 6,216 "," 4,791 "," 3,374 "," 3,311 "," 3,311 "," 2,422 "," 1,159 ", 427 , 72 , 7 
 澎 湖 縣 , 男 ," 49,865 ", 393 ," 1,470 ", 342 , 374 , 374 , 380 ," 2,085 "," 2,687 "," 3,414 "," 3,652 "," 3,910 "," 4,136 "," 3,893 "," 3,994 "," 4,097 "," 3,941 "," 3,233 "," 2,347 "," 1,646 "," 1,606 "," 1,530 "," 1,171 ", 480 , 149 , 30 , 1 
, 女 ," 47,292 ", 386 ," 1,345 ", 319 , 372 , 331 , 323 ," 1,890 "," 2,453 "," 3,177 "," 3,526 "," 3,692 "," 4,137 "," 3,701 "," 3,346 "," 3,365 "," 3,377 "," 2,983 "," 2,444 "," 1,728 "," 1,705 "," 1,781 "," 1,251 ", 679 , 278 , 42 , 6 
, 計 ," 379,927 "," 1,849 "," 9,843 "," 2,056 "," 2,441 "," 2,556 "," 2,790 "," 15,859 "," 22,922 "," 27,197 "," 27,037 "," 27,375 "," 30,091 "," 29,008 "," 31,305 "," 33,254 "," 32,468 "," 28,909 "," 20,299 "," 11,420 "," 11,788 "," 8,357 "," 6,238 "," 3,386 "," 1,047 ", 225 , 50 
 基 隆 市 , 男 ," 191,367 ", 942 ," 5,151 "," 1,055 "," 1,258 "," 1,372 "," 1,466 "," 8,271 "," 11,939 "," 14,103 "," 14,183 "," 14,072 "," 15,291 "," 14,656 "," 15,817 "," 16,803 "," 16,272 "," 14,231 "," 9,872 "," 5,321 "," 5,218 "," 3,758 "," 3,122 "," 1,728 ", 478 , 112 , 27 
, 女 ," 188,560 ", 907 ," 4,692 "," 1,001 "," 1,183 "," 1,184 "," 1,324 "," 7,588 "," 10,983 "," 13,094 "," 12,854 "," 13,303 "," 14,800 "," 14,352 "," 15,488 "," 16,451 "," 16,196 "," 14,678 "," 10,427 "," 6,099 "," 6,570 "," 4,599 "," 3,116 "," 1,658 ", 569 , 113 , 23 
, 計 ," 420,052 "," 5,004 "," 19,672 "," 4,520 "," 5,142 "," 5,028 "," 4,982 "," 25,005 "," 28,997 "," 28,723 "," 26,882 "," 30,292 "," 40,196 "," 37,119 "," 35,152 "," 32,564 "," 28,480 "," 24,665 "," 17,644 "," 11,250 "," 9,995 "," 7,396 "," 6,130 "," 3,471 "," 1,114 ", 239 , 62 
 新 竹 市 , 男 ," 208,390 "," 2,632 "," 10,348 "," 2,363 "," 2,676 "," 2,722 "," 2,587 "," 13,058 "," 15,122 "," 14,754 "," 13,887 "," 14,813 "," 18,958 "," 18,038 "," 17,387 "," 16,381 "," 14,155 "," 12,010 "," 8,365 "," 5,086 "," 4,309 "," 3,293 "," 3,136 "," 1,925 ", 568 , 130 , 35 
, 女 ," 211,662 "," 2,372 "," 9,324 "," 2,157 "," 2,466 "," 2,306 "," 2,395 "," 11,947 "," 13,875 "," 13,969 "," 12,995 "," 15,479 "," 21,238 "," 19,081 "," 17,765 "," 16,183 "," 14,325 "," 12,655 "," 9,279 "," 6,164 "," 5,686 "," 4,103 "," 2,994 "," 1,546 ", 546 , 109 , 27 
, 計 ," 271,526 "," 1,781 "," 8,297 "," 1,772 "," 1,992 "," 2,216 "," 2,317 "," 14,523 "," 20,749 "," 20,246 "," 18,229 "," 19,646 "," 21,868 "," 20,910 "," 21,705 "," 22,013 "," 19,861 "," 17,890 "," 13,474 "," 8,558 "," 8,163 "," 6,214 "," 4,392 "," 2,194 ", 665 , 127 , 21 
 嘉 義 市 , 男 ," 133,453 ", 969 ," 4,375 ", 923 ," 1,035 "," 1,213 "," 1,204 "," 7,620 "," 10,808 "," 10,514 "," 9,427 "," 9,860 "," 10,646 "," 9,609 "," 10,243 "," 10,720 "," 9,725 "," 8,773 "," 6,316 "," 3,913 "," 3,642 "," 2,727 "," 2,099 "," 1,102 ", 308 , 48 , 9 
, 女 ," 138,073 ", 812 ," 3,922 ", 849 , 957 ," 1,003 "," 1,113 "," 6,903 "," 9,941 "," 9,732 "," 8,802 "," 9,786 "," 11,222 "," 11,301 "," 11,462 "," 11,293 "," 10,136 "," 9,117 "," 7,158 "," 4,645 "," 4,521 "," 3,487 "," 2,293 "," 1,092 ", 357 , 79 , 12 
, 計 ," 113,989 "," 1,246 "," 4,379 "," 1,113 "," 1,195 "," 1,074 ", 997 ," 4,041 "," 4,676 "," 7,608 "," 9,022 "," 8,980 "," 9,401 "," 8,758 "," 8,890 "," 9,974 "," 9,586 "," 8,540 "," 5,529 "," 3,776 "," 3,462 "," 2,793 "," 1,690 "," 1,021 ", 434 , 144 , 39 
 福 建 省 , 男 ," 58,464 ", 683 ," 2,279 ", 578 , 598 , 536 , 567 ," 2,094 "," 2,426 "," 3,869 "," 4,547 "," 4,453 "," 4,466 "," 4,524 "," 4,847 "," 5,329 "," 5,150 "," 4,469 "," 2,865 "," 2,003 "," 1,821 "," 1,418 ", 672 , 330 , 165 , 43 , 11 
, 女 ," 55,525 ", 563 ," 2,100 ", 535 , 597 , 538 , 430 ," 1,947 "," 2,250 "," 3,739 "," 4,475 "," 4,527 "," 4,935 "," 4,234 "," 4,043 "," 4,645 "," 4,436 "," 4,071 "," 2,664 "," 1,773 "," 1,641 "," 1,375 "," 1,018 ", 691 , 269 , 101 , 28 
, 計 ," 103,883 "," 1,115 "," 3,981 "," 1,022 "," 1,081 ", 986 , 892 ," 3,615 "," 4,183 "," 6,944 "," 8,324 "," 8,237 "," 8,547 "," 7,919 "," 8,091 "," 9,085 "," 8,698 "," 7,750 "," 5,011 "," 3,494 "," 3,237 "," 2,600 "," 1,561 ", 927 , 396 , 132 , 36 
 金 門 縣 , 男 ," 52,631 ", 613 ," 2,061 ", 529 , 533 , 493 , 506 ," 1,863 "," 2,167 "," 3,510 "," 4,128 "," 4,046 "," 3,997 "," 4,038 "," 4,322 "," 4,766 "," 4,608 "," 3,992 "," 2,563 "," 1,832 "," 1,686 "," 1,328 ", 618 , 296 , 149 , 38 , 10 
