 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國105年底 ,,,,,,,,,,,,,, 中華民國105年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,539,816 "," 196,873 "," 866,190 "," 216,007 "," 214,590 "," 197,963 "," 237,630 "," 971,266 "," 1,107,552 "," 1,434,776 "," 1,608,149 "," 1,602,037 "," 1,787,567 "," 2,023,172 "," 1,833,753 "," 1,819,997 "," 1,871,648 "," 1,756,657 "," 1,554,074 "," 1,118,221 "," 663,987 "," 579,794 "," 387,717 "," 241,771 "," 91,542 "," 20,005 "," 3,068 "
 總　　計 , 男 ," 11,719,270 "," 102,046 "," 448,603 "," 112,299 "," 110,764 "," 102,610 "," 122,930 "," 506,111 "," 579,306 "," 747,320 "," 834,607 "," 829,814 "," 895,355 "," 1,000,692 "," 903,230 "," 901,383 "," 924,716 "," 861,044 "," 752,645 "," 533,682 "," 307,929 "," 256,390 "," 167,699 "," 114,543 "," 42,154 "," 8,597 "," 1,404 "
, 女 ," 11,820,546 "," 94,827 "," 417,587 "," 103,708 "," 103,826 "," 95,353 "," 114,700 "," 465,155 "," 528,246 "," 687,456 "," 773,542 "," 772,223 "," 892,212 "," 1,022,480 "," 930,523 "," 918,614 "," 946,932 "," 895,613 "," 801,429 "," 584,539 "," 356,058 "," 323,404 "," 220,018 "," 127,228 "," 49,388 "," 11,408 "," 1,664 "
, 計 ," 3,979,208 "," 31,556 "," 138,288 "," 34,607 "," 34,851 "," 31,347 "," 37,483 "," 160,783 "," 176,796 "," 234,604 "," 272,488 "," 279,313 "," 307,673 "," 353,120 "," 323,168 "," 314,882 "," 329,003 "," 312,936 "," 278,689 "," 192,041 "," 102,640 "," 77,878 "," 46,959 "," 30,195 "," 12,555 "," 3,086 ", 555 
 新 北 市 , 男 ," 1,952,341 "," 16,287 "," 71,574 "," 17,960 "," 17,898 "," 16,320 "," 19,396 "," 83,843 "," 92,421 "," 121,826 "," 141,673 "," 144,410 "," 153,230 "," 173,041 "," 157,870 "," 151,544 "," 154,233 "," 146,070 "," 129,691 "," 89,921 "," 47,584 "," 33,800 "," 20,255 "," 15,046 "," 6,216 "," 1,527 ", 279 
, 女 ," 2,026,867 "," 15,269 "," 66,714 "," 16,647 "," 16,953 "," 15,027 "," 18,087 "," 76,940 "," 84,375 "," 112,778 "," 130,815 "," 134,903 "," 154,443 "," 180,079 "," 165,298 "," 163,338 "," 174,770 "," 166,866 "," 148,998 "," 102,120 "," 55,056 "," 44,078 "," 26,704 "," 15,149 "," 6,339 "," 1,559 ", 276 
, 計 ," 2,695,704 "," 26,809 "," 122,806 "," 30,508 "," 31,212 "," 28,440 "," 32,646 "," 111,067 "," 114,446 "," 139,035 "," 149,903 "," 156,428 "," 201,232 "," 236,650 "," 210,866 "," 204,890 "," 206,063 "," 201,803 "," 194,576 "," 152,844 "," 88,216 "," 72,967 "," 49,602 "," 34,799 "," 15,934 "," 4,058 ", 710 
 臺 北 市 , 男 ," 1,289,510 "," 13,885 "," 63,264 "," 15,838 "," 15,996 "," 14,621 "," 16,809 "," 57,588 "," 59,933 "," 72,205 "," 77,232 "," 78,503 "," 94,574 "," 110,724 "," 98,197 "," 94,508 "," 95,783 "," 93,537 "," 90,706 "," 70,151 "," 39,854 "," 30,756 "," 21,016 "," 16,923 "," 7,820 "," 1,994 ", 357 
