 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國105年底 ,,,,,,,,,,,,,, 中華民國105年底 ,,,,,,,,   單位：人 
, 女 ," 1,406,194 "," 12,924 "," 59,542 "," 14,670 "," 15,216 "," 13,819 "," 15,837 "," 53,479 "," 54,513 "," 66,830 "," 72,671 "," 77,925 "," 106,658 "," 125,926 "," 112,669 "," 110,382 "," 110,280 "," 108,266 "," 103,870 "," 82,693 "," 48,362 "," 42,211 "," 28,586 "," 17,876 "," 8,114 "," 2,064 ", 353 
, 計 ," 2,147,763 "," 22,862 "," 88,383 "," 23,664 "," 21,557 "," 19,550 "," 23,612 "," 102,460 "," 115,602 "," 144,911 "," 155,656 "," 153,175 "," 172,718 "," 194,917 "," 174,222 "," 168,787 "," 166,285 "," 145,564 "," 122,796 "," 82,803 "," 46,971 "," 37,570 "," 24,426 "," 18,981 "," 6,990 "," 1,454 ", 230 
 桃 園 市 , 男 ," 1,071,564 "," 11,885 "," 45,838 "," 12,237 "," 11,307 "," 10,191 "," 12,103 "," 53,361 "," 60,608 "," 75,552 "," 81,203 "," 78,916 "," 85,956 "," 95,669 "," 85,735 "," 83,002 "," 81,392 "," 70,736 "," 58,369 "," 38,633 "," 21,176 "," 16,149 "," 11,232 "," 11,440 "," 3,885 ", 704 , 123 
, 女 ," 1,076,199 "," 10,977 "," 42,545 "," 11,427 "," 10,250 "," 9,359 "," 11,509 "," 49,099 "," 54,994 "," 69,359 "," 74,453 "," 74,259 "," 86,762 "," 99,248 "," 88,487 "," 85,785 "," 84,893 "," 74,828 "," 64,427 "," 44,170 "," 25,795 "," 21,421 "," 13,194 "," 7,541 "," 3,105 ", 750 , 107 
, 計 ," 2,767,239 "," 24,731 "," 115,250 "," 27,548 "," 28,391 "," 26,729 "," 32,582 "," 127,419 "," 141,812 "," 184,029 "," 201,890 "," 199,063 "," 220,525 "," 244,969 "," 215,835 "," 214,537 "," 215,427 "," 193,776 "," 166,072 "," 114,348 "," 65,861 "," 54,836 "," 35,327 "," 21,754 "," 7,943 "," 1,594 ", 241 
 臺 中 市 , 男 ," 1,366,312 "," 12,814 "," 59,721 "," 14,413 "," 14,607 "," 13,864 "," 16,837 "," 66,211 "," 73,826 "," 95,664 "," 104,516 "," 102,510 "," 109,351 "," 120,198 "," 103,406 "," 102,584 "," 103,103 "," 93,095 "," 79,654 "," 54,534 "," 30,180 "," 24,210 "," 15,288 "," 10,746 "," 3,927 ", 685 , 89 
, 女 ," 1,400,927 "," 11,917 "," 55,529 "," 13,135 "," 13,784 "," 12,865 "," 15,745 "," 61,208 "," 67,986 "," 88,365 "," 97,374 "," 96,553 "," 111,174 "," 124,771 "," 112,429 "," 111,953 "," 112,324 "," 100,681 "," 86,418 "," 59,814 "," 35,681 "," 30,626 "," 20,039 "," 11,008 "," 4,016 ", 909 , 152 
, 計 ," 1,886,033 "," 13,883 "," 65,639 "," 15,896 "," 15,888 "," 15,090 "," 18,765 "," 73,537 "," 83,512 "," 109,895 "," 125,326 "," 130,009 "," 145,365 "," 162,931 "," 143,228 "," 143,878 "," 154,414 "," 148,523 "," 126,192 "," 90,486 "," 53,242 "," 49,695 "," 36,087 "," 21,251 "," 7,245 "," 1,494 ", 201 
 臺 南 市 , 男 ," 943,082 "," 7,330 "," 33,861 "," 8,236 "," 8,153 "," 7,731 "," 9,741 "," 38,310 "," 43,630 "," 57,427 "," 64,738 "," 67,423 "," 73,199 "," 81,938 "," 70,620 "," 71,152 "," 76,981 "," 74,515 "," 62,939 "," 44,124 "," 24,790 "," 21,896 "," 15,402 "," 9,248 "," 2,937 ", 545 , 77 
, 女 ," 942,951 "," 6,553 "," 31,778 "," 7,660 "," 7,735 "," 7,359 "," 9,024 "," 35,227 "," 39,882 "," 52,468 "," 60,588 "," 62,586 "," 72,166 "," 80,993 "," 72,608 "," 72,726 "," 77,433 "," 74,008 "," 63,253 "," 46,362 "," 28,452 "," 27,799 "," 20,685 "," 12,003 "," 4,308 ", 949 , 124 
, 計 ," 2,779,371 "," 20,644 "," 93,052 "," 22,805 "," 22,763 "," 21,516 "," 25,968 "," 106,136 "," 123,961 "," 164,688 "," 185,997 "," 187,090 "," 207,675 "," 240,518 "," 225,538 "," 221,225 "," 221,921 "," 212,064 "," 195,258 "," 144,968 "," 82,631 "," 67,768 "," 42,001 "," 25,193 "," 9,072 "," 1,759 ", 212 
 高 雄 市 , 男 ," 1,379,043 "," 10,664 "," 48,181 "," 11,888 "," 11,844 "," 11,054 "," 13,395 "," 55,104 "," 64,540 "," 85,279 "," 96,637 "," 96,938 "," 104,616 "," 118,991 "," 111,062 "," 109,952 "," 109,277 "," 102,101 "," 92,622 "," 68,356 "," 38,392 "," 29,691 "," 18,543 "," 12,710 "," 4,514 ", 772 , 101 
, 女 ," 1,400,328 "," 9,980 "," 44,871 "," 10,917 "," 10,919 "," 10,462 "," 12,573 "," 51,032 "," 59,421 "," 79,409 "," 89,360 "," 90,152 "," 103,059 "," 121,527 "," 114,476 "," 111,273 "," 112,644 "," 109,963 "," 102,636 "," 76,612 "," 44,239 "," 38,077 "," 23,458 "," 12,483 "," 4,558 ", 987 , 111 
, 計 ," 7,136,789 "," 55,005 "," 237,398 "," 59,540 "," 58,456 "," 54,081 "," 65,321 "," 285,674 "," 347,102 "," 449,660 "," 504,090 "," 485,288 "," 520,995 "," 578,913 "," 530,203 "," 539,997 "," 564,719 "," 528,575 "," 459,794 "," 334,863 "," 220,775 "," 215,912 "," 151,016 "," 88,358 "," 31,211 "," 6,369 ", 872 
 臺 灣 省 , 男 ," 3,642,668 "," 28,449 "," 123,376 "," 30,979 "," 30,197 "," 28,204 "," 33,996 "," 149,485 "," 182,090 "," 235,323 "," 262,289 "," 255,201 "," 268,770 "," 294,764 "," 270,938 "," 282,467 "," 296,936 "," 273,899 "," 233,114 "," 164,962 "," 104,071 "," 98,291 "," 64,882 "," 37,992 "," 12,693 "," 2,309 ", 367 
, 女 ," 3,494,121 "," 26,556 "," 114,022 "," 28,561 "," 28,259 "," 25,877 "," 31,325 "," 136,189 "," 165,012 "," 214,337 "," 241,801 "," 230,087 "," 252,225 "," 284,149 "," 259,265 "," 257,530 "," 267,783 "," 254,676 "," 226,680 "," 169,901 "," 116,704 "," 117,621 "," 86,134 "," 50,366 "," 18,518 "," 4,060 ", 505 
, 計 ," 457,538 "," 3,361 "," 14,322 "," 3,437 "," 3,454 "," 3,470 "," 3,961 "," 17,692 "," 21,461 "," 28,715 "," 34,000 "," 32,364 "," 32,354 "," 34,806 "," 33,282 "," 35,633 "," 37,002 "," 34,738 "," 30,000 "," 20,476 "," 14,522 "," 14,697 "," 9,884 "," 5,714 "," 2,034 ", 410 , 71 
 宜 蘭 縣 , 男 ," 231,722 "," 1,754 "," 7,520 "," 1,780 "," 1,803 "," 1,837 "," 2,100 "," 9,157 "," 11,146 "," 14,982 "," 17,668 "," 17,079 "," 16,704 "," 17,617 "," 16,678 "," 18,318 "," 18,988 "," 17,522 "," 14,985 "," 10,046 "," 6,916 "," 6,753 "," 4,343 "," 2,553 ", 813 , 147 , 33 
, 女 ," 225,816 "," 1,607 "," 6,802 "," 1,657 "," 1,651 "," 1,633 "," 1,861 "," 8,535 "," 10,315 "," 13,733 "," 16,332 "," 15,285 "," 15,650 "," 17,189 "," 16,604 "," 17,315 "," 18,014 "," 17,216 "," 15,015 "," 10,430 "," 7,606 "," 7,944 "," 5,541 "," 3,161 "," 1,221 ", 263 , 38 
, 計 ," 547,481 "," 5,311 "," 25,164 "," 5,801 "," 6,129 "," 5,925 "," 7,309 "," 30,362 "," 30,853 "," 36,013 "," 38,210 "," 35,210 "," 40,079 "," 50,090 "," 46,712 "," 42,602 "," 40,197 "," 34,403 "," 28,235 "," 19,521 "," 13,575 "," 13,660 "," 9,108 "," 5,631 "," 2,066 ", 412 , 67 
 新 竹 縣 , 男 ," 280,030 "," 2,744 "," 12,985 "," 3,050 "," 3,156 "," 3,050 "," 3,729 "," 15,906 "," 16,209 "," 18,919 "," 19,914 "," 18,473 "," 20,149 "," 24,586 "," 23,674 "," 22,108 "," 21,063 "," 18,130 "," 14,395 "," 9,693 "," 6,584 "," 6,521 "," 4,182 "," 2,704 ", 900 , 163 , 28 
, 女 ," 267,451 "," 2,567 "," 12,179 "," 2,751 "," 2,973 "," 2,875 "," 3,580 "," 14,456 "," 14,644 "," 17,094 "," 18,296 "," 16,737 "," 19,930 "," 25,504 "," 23,038 "," 20,494 "," 19,134 "," 16,273 "," 13,840 "," 9,828 "," 6,991 "," 7,139 "," 4,926 "," 2,927 "," 1,166 ", 249 , 39 
, 計 ," 559,189 "," 4,455 "," 21,488 "," 5,565 "," 5,692 "," 4,777 "," 5,454 "," 23,048 "," 27,187 "," 34,088 "," 39,835 "," 39,581 "," 42,542 "," 45,328 "," 39,616 "," 40,507 "," 42,614 "," 40,961 "," 35,168 "," 24,829 "," 17,288 "," 17,486 "," 12,308 "," 7,570 "," 2,658 ", 553 , 79 
 苗 栗 縣 , 男 ," 288,469 "," 2,298 "," 11,093 "," 2,889 "," 2,906 "," 2,468 "," 2,830 "," 12,083 "," 14,531 "," 17,900 "," 20,718 "," 20,740 "," 21,835 "," 23,305 "," 20,642 "," 21,607 "," 22,535 "," 21,588 "," 18,249 "," 12,331 "," 8,479 "," 8,399 "," 5,567 "," 3,342 "," 1,008 ", 191 , 28 
, 女 ," 270,720 "," 2,157 "," 10,395 "," 2,676 "," 2,786 "," 2,309 "," 2,624 "," 10,965 "," 12,656 "," 16,188 "," 19,117 "," 18,841 "," 20,707 "," 22,023 "," 18,974 "," 18,900 "," 20,079 "," 19,373 "," 16,919 "," 12,498 "," 8,809 "," 9,087 "," 6,741 "," 4,228 "," 1,650 ", 362 , 51 
, 計 ," 1,287,146 "," 12,601 "," 46,106 "," 12,822 "," 11,188 "," 9,877 "," 12,219 "," 52,164 "," 64,552 "," 83,051 "," 91,796 "," 93,323 "," 102,670 "," 107,903 "," 92,405 "," 89,560 "," 96,591 "," 91,574 "," 79,888 "," 58,734 "," 37,767 "," 37,533 "," 27,394 "," 15,077 "," 5,295 "," 1,060 ", 102 
 彰 化 縣 , 男 ," 656,749 "," 6,544 "," 24,052 "," 6,670 "," 5,826 "," 5,184 "," 6,372 "," 27,240 "," 34,077 "," 43,420 "," 47,902 "," 48,911 "," 52,557 "," 55,512 "," 47,675 "," 46,620 "," 50,230 "," 47,272 "," 40,617 "," 29,245 "," 18,062 "," 17,333 "," 11,479 "," 5,897 "," 1,782 ", 296 , 26 
, 女 ," 630,397 "," 6,057 "," 22,054 "," 6,152 "," 5,362 "," 4,693 "," 5,847 "," 24,924 "," 30,475 "," 39,631 "," 43,894 "," 44,412 "," 50,113 "," 52,391 "," 44,730 "," 42,940 "," 46,361 "," 44,302 "," 39,271 "," 29,489 "," 19,705 "," 20,200 "," 15,915 "," 9,180 "," 3,513 ", 764 , 76 
, 計 ," 505,163 "," 3,363 "," 13,669 "," 3,450 "," 3,401 "," 3,056 "," 3,762 "," 17,855 "," 23,407 "," 31,703 "," 36,848 "," 35,211 "," 35,724 "," 37,696 "," 34,426 "," 38,037 "," 41,903 "," 40,247 "," 34,939 "," 25,222 "," 16,688 "," 16,742 "," 11,697 "," 6,906 "," 2,343 ", 480 , 57 
 南 投 縣 , 男 ," 258,990 "," 1,757 "," 7,098 "," 1,785 "," 1,773 "," 1,573 "," 1,967 "," 9,248 "," 12,152 "," 16,509 "," 19,033 "," 18,786 "," 19,013 "," 19,604 "," 17,634 "," 19,893 "," 21,896 "," 20,904 "," 18,020 "," 12,625 "," 7,968 "," 7,684 "," 5,095 "," 2,958 ", 928 , 164 , 21 
, 女 ," 246,173 "," 1,606 "," 6,571 "," 1,665 "," 1,628 "," 1,483 "," 1,795 "," 8,607 "," 11,255 "," 15,194 "," 17,815 "," 16,425 "," 16,711 "," 18,092 "," 16,792 "," 18,144 "," 20,007 "," 19,343 "," 16,919 "," 12,597 "," 8,720 "," 9,058 "," 6,602 "," 3,948 "," 1,415 ", 316 , 36 
, 計 ," 694,873 "," 4,483 "," 20,528 "," 5,009 "," 5,111 "," 4,651 "," 5,757 "," 25,896 "," 33,703 "," 43,616 "," 45,934 "," 43,978 "," 49,796 "," 55,847 "," 51,097 "," 51,294 "," 55,111 "," 50,219 "," 44,607 "," 34,875 "," 25,582 "," 25,930 "," 18,189 "," 10,179 "," 3,314 ", 624 , 71 
 雲 林 縣 , 男 ," 360,980 "," 2,281 "," 10,644 "," 2,602 "," 2,624 "," 2,392 "," 3,026 "," 13,647 "," 17,650 "," 23,044 "," 23,927 "," 23,295 "," 25,921 "," 28,828 "," 26,912 "," 28,623 "," 31,037 "," 27,562 "," 23,589 "," 17,769 "," 12,051 "," 11,615 "," 7,519 "," 3,788 "," 1,103 ", 157 , 18 
, 女 ," 333,893 "," 2,202 "," 9,884 "," 2,407 "," 2,487 "," 2,259 "," 2,731 "," 12,249 "," 16,053 "," 20,572 "," 22,007 "," 20,683 "," 23,875 "," 27,019 "," 24,185 "," 22,671 "," 24,074 "," 22,657 "," 21,018 "," 17,106 "," 13,531 "," 14,315 "," 10,670 "," 6,391 "," 2,211 ", 467 , 53 
, 計 ," 515,320 "," 2,750 "," 12,429 "," 3,084 "," 2,989 "," 2,892 "," 3,464 "," 15,707 "," 22,033 "," 31,474 "," 35,187 "," 33,919 "," 35,124 "," 38,545 "," 36,209 "," 39,596 "," 43,673 "," 41,139 "," 35,301 "," 27,039 "," 18,509 "," 19,850 "," 14,842 "," 8,566 "," 2,761 ", 609 , 58 
 嘉 義 縣 , 男 ," 268,109 "," 1,432 "," 6,496 "," 1,623 "," 1,556 "," 1,516 "," 1,801 "," 8,230 "," 11,526 "," 16,546 "," 18,256 "," 17,994 "," 18,907 "," 20,020 "," 18,991 "," 21,637 "," 24,460 "," 22,758 "," 18,854 "," 13,643 "," 8,694 "," 8,898 "," 6,226 "," 3,342 ", 991 , 190 , 18 
, 女 ," 247,211 "," 1,318 "," 5,933 "," 1,461 "," 1,433 "," 1,376 "," 1,663 "," 7,477 "," 10,507 "," 14,928 "," 16,931 "," 15,925 "," 16,217 "," 18,525 "," 17,218 "," 17,959 "," 19,213 "," 18,381 "," 16,447 "," 13,396 "," 9,815 "," 10,952 "," 8,616 "," 5,224 "," 1,770 ", 419 , 40 
, 計 ," 835,792 "," 4,990 "," 22,651 "," 5,555 "," 5,534 "," 5,125 "," 6,437 "," 28,568 "," 37,577 "," 50,951 "," 60,562 "," 57,201 "," 59,337 "," 66,082 "," 61,048 "," 65,219 "," 69,478 "," 66,472 "," 58,640 "," 43,286 "," 27,283 "," 25,808 "," 17,326 "," 9,627 "," 3,040 ", 566 , 80 
 屏 東 縣 , 男 ," 427,747 "," 2,614 "," 11,830 "," 2,886 "," 2,859 "," 2,659 "," 3,426 "," 14,951 "," 19,603 "," 26,663 "," 31,598 "," 29,956 "," 31,139 "," 34,410 "," 31,481 "," 34,112 "," 36,349 "," 33,872 "," 29,224 "," 21,366 "," 12,975 "," 12,045 "," 7,626 "," 4,338 "," 1,330 ", 224 , 41 
, 女 ," 408,045 "," 2,376 "," 10,821 "," 2,669 "," 2,675 "," 2,466 "," 3,011 "," 13,617 "," 17,974 "," 24,288 "," 28,964 "," 27,245 "," 28,198 "," 31,672 "," 29,567 "," 31,107 "," 33,129 "," 32,600 "," 29,416 "," 21,920 "," 14,308 "," 13,763 "," 9,700 "," 5,289 "," 1,710 ", 342 , 39 
, 計 ," 220,802 "," 1,454 "," 6,776 "," 1,628 "," 1,719 "," 1,608 "," 1,821 "," 8,445 "," 10,651 "," 13,785 "," 15,473 "," 14,291 "," 15,212 "," 16,522 "," 16,783 "," 17,935 "," 18,513 "," 17,019 "," 14,883 "," 10,971 "," 7,107 "," 6,404 "," 4,442 "," 2,776 "," 1,095 ", 227 , 38 
 臺 東 縣 , 男 ," 114,205 ", 781 ," 3,519 ", 787 , 892 , 869 , 971 ," 4,384 "," 5,615 "," 7,162 "," 8,031 "," 7,733 "," 8,056 "," 8,736 "," 8,885 "," 9,720 "," 10,077 "," 8,934 "," 7,365 "," 5,184 "," 3,257 "," 2,793 "," 1,924 "," 1,340 ", 569 , 119 , 21 
, 女 ," 106,597 ", 673 ," 3,257 ", 841 , 827 , 739 , 850 ," 4,061 "," 5,036 "," 6,623 "," 7,442 "," 6,558 "," 7,156 "," 7,786 "," 7,898 "," 8,215 "," 8,436 "," 8,085 "," 7,518 "," 5,787 "," 3,850 "," 3,611 "," 2,518 "," 1,436 ", 526 , 108 , 17 
, 計 ," 330,911 "," 2,513 "," 10,774 "," 2,683 "," 2,663 "," 2,589 "," 2,839 "," 12,685 "," 15,280 "," 20,408 "," 23,859 "," 21,864 "," 23,211 "," 25,515 "," 24,707 "," 25,870 "," 26,444 "," 26,013 "," 23,119 "," 16,593 "," 10,727 "," 9,072 "," 6,281 "," 3,955 "," 1,612 ", 344 , 65 
 花 蓮 縣 , 男 ," 168,375 "," 1,296 "," 5,591 "," 1,398 "," 1,391 "," 1,321 "," 1,481 "," 6,691 "," 8,005 "," 10,667 "," 12,335 "," 11,408 "," 12,146 "," 13,309 "," 12,521 "," 13,455 "," 13,762 "," 13,027 "," 11,542 "," 7,979 "," 4,859 "," 4,018 "," 2,707 "," 1,990 ", 849 , 176 , 42 
, 女 ," 162,536 "," 1,217 "," 5,183 "," 1,285 "," 1,272 "," 1,268 "," 1,358 "," 5,994 "," 7,275 "," 9,741 "," 11,524 "," 10,456 "," 11,065 "," 12,206 "," 12,186 "," 12,415 "," 12,682 "," 12,986 "," 11,577 "," 8,614 "," 5,868 "," 5,054 "," 3,574 "," 1,965 ", 763 , 168 , 23 
, 計 ," 103,263 ", 939 ," 3,415 ", 900 , 897 , 801 , 817 ," 3,088 "," 4,044 "," 6,369 "," 8,402 "," 7,459 "," 7,944 "," 8,455 "," 7,777 "," 7,790 "," 8,033 "," 7,577 "," 6,392 "," 4,663 "," 3,132 "," 2,917 "," 2,561 "," 1,569 ", 588 , 139 , 10 
 澎 湖 縣 , 男 ," 53,152 ", 485 ," 1,808 ", 485 , 469 , 423 , 431 ," 1,578 "," 2,122 "," 3,360 "," 4,586 "," 3,952 "," 4,052 "," 4,248 "," 3,983 "," 4,169 "," 4,301 "," 4,011 "," 3,301 "," 2,278 "," 1,492 "," 1,357 "," 1,106 ", 692 , 220 , 50 , 1 
, 女 ," 50,111 ", 454 ," 1,607 ", 415 , 428 , 378 , 386 ," 1,510 "," 1,922 "," 3,009 "," 3,816 "," 3,507 "," 3,892 "," 4,207 "," 3,794 "," 3,621 "," 3,732 "," 3,566 "," 3,091 "," 2,385 "," 1,640 "," 1,560 "," 1,455 ", 877 , 368 , 89 , 9 
, 計 ," 372,100 "," 2,350 "," 9,445 "," 2,379 "," 2,140 "," 2,195 "," 2,731 "," 12,813 "," 15,900 "," 22,639 "," 26,783 "," 26,052 "," 25,078 "," 28,301 "," 28,205 "," 30,657 "," 32,585 "," 31,592 "," 27,751 "," 19,206 "," 10,377 "," 10,071 "," 6,306 "," 3,943 "," 1,616 ", 351 , 79 
 基 隆 市 , 男 ," 186,524 "," 1,171 "," 4,898 "," 1,270 "," 1,098 "," 1,166 "," 1,364 "," 6,676 "," 8,354 "," 11,750 "," 14,017 "," 13,775 "," 12,976 "," 14,191 "," 14,173 "," 15,386 "," 16,335 "," 15,686 "," 13,432 "," 9,200 "," 4,713 "," 4,282 "," 2,654 "," 1,849 ", 797 , 166 , 43 
, 女 ," 185,576 "," 1,179 "," 4,547 "," 1,109 "," 1,042 "," 1,029 "," 1,367 "," 6,137 "," 7,546 "," 10,889 "," 12,766 "," 12,277 "," 12,102 "," 14,110 "," 14,032 "," 15,271 "," 16,250 "," 15,906 "," 14,319 "," 10,006 "," 5,664 "," 5,789 "," 3,652 "," 2,094 ", 819 , 185 , 36 
, 計 ," 437,337 "," 4,380 "," 21,545 "," 5,050 "," 5,349 "," 5,022 "," 6,124 "," 25,080 "," 25,278 "," 27,841 "," 27,968 "," 27,133 "," 33,020 "," 42,331 "," 37,377 "," 34,376 "," 31,412 "," 27,534 "," 23,921 "," 16,964 "," 10,432 "," 8,729 "," 5,827 "," 3,996 "," 1,751 ", 380 , 62 
 新 竹 市 , 男 ," 216,206 "," 2,244 "," 11,125 "," 2,641 "," 2,727 "," 2,621 "," 3,136 "," 13,198 "," 13,195 "," 14,498 "," 14,379 "," 13,961 "," 16,050 "," 20,222 "," 18,312 "," 16,956 "," 15,703 "," 13,432 "," 11,361 "," 7,895 "," 4,585 "," 3,606 "," 2,442 "," 1,935 ", 903 , 174 , 30 
, 女 ," 221,131 "," 2,136 "," 10,420 "," 2,409 "," 2,622 "," 2,401 "," 2,988 "," 11,882 "," 12,083 "," 13,343 "," 13,589 "," 13,172 "," 16,970 "," 22,109 "," 19,065 "," 17,420 "," 15,709 "," 14,102 "," 12,560 "," 9,069 "," 5,847 "," 5,123 "," 3,385 "," 2,061 ", 848 , 206 , 32 
, 計 ," 269,874 "," 2,055 "," 9,086 "," 2,177 "," 2,190 "," 2,093 "," 2,626 "," 12,271 "," 15,176 "," 19,007 "," 19,233 "," 17,702 "," 18,904 "," 21,492 "," 20,559 "," 20,921 "," 21,163 "," 19,087 "," 16,950 "," 12,484 "," 7,786 "," 7,013 "," 4,851 "," 2,849 "," 1,038 ", 214 , 33 
 嘉 義 市 , 男 ," 131,410 "," 1,048 "," 4,717 "," 1,113 "," 1,117 "," 1,125 "," 1,362 "," 6,496 "," 7,905 "," 9,903 "," 9,925 "," 9,138 "," 9,265 "," 10,176 "," 9,377 "," 9,863 "," 10,200 "," 9,201 "," 8,180 "," 5,708 "," 3,436 "," 2,987 "," 2,012 "," 1,264 ", 500 , 92 , 17 
, 女 ," 138,464 "," 1,007 "," 4,369 "," 1,064 "," 1,073 ", 968 ," 1,264 "," 5,775 "," 7,271 "," 9,104 "," 9,308 "," 8,564 "," 9,639 "," 11,316 "," 11,182 "," 11,058 "," 10,963 "," 9,886 "," 8,770 "," 6,776 "," 4,350 "," 4,026 "," 2,839 "," 1,585 ", 538 , 122 , 16 
, 計 ," 147,709 "," 1,383 "," 5,374 "," 1,439 "," 1,472 "," 1,210 "," 1,253 "," 4,190 "," 4,321 "," 7,954 "," 12,799 "," 11,671 "," 11,384 "," 11,154 "," 10,693 "," 11,801 "," 13,816 "," 13,416 "," 10,697 "," 5,868 "," 3,651 "," 3,168 "," 2,299 "," 1,240 ", 592 , 191 , 47 
 福 建 省 , 男 ," 74,750 ", 732 ," 2,788 ", 748 , 762 , 625 , 653 ," 2,209 "," 2,258 "," 4,044 "," 6,319 "," 5,913 "," 5,659 "," 5,367 "," 5,402 "," 6,174 "," 7,011 "," 7,091 "," 5,550 "," 3,001 "," 1,882 "," 1,597 "," 1,081 ", 438 , 162 , 61 , 11 
, 女 ," 72,959 ", 651 ," 2,586 ", 691 , 710 , 585 , 600 ," 1,981 "," 2,063 "," 3,910 "," 6,480 "," 5,758 "," 5,725 "," 5,787 "," 5,291 "," 5,627 "," 6,805 "," 6,325 "," 5,147 "," 2,867 "," 1,769 "," 1,571 "," 1,218 ", 802 , 430 , 130 , 36 
, 計 ," 135,114 "," 1,233 "," 4,821 "," 1,285 "," 1,310 "," 1,092 "," 1,134 "," 3,750 "," 3,870 "," 7,256 "," 11,919 "," 10,667 "," 10,409 "," 10,117 "," 9,702 "," 10,792 "," 12,691 "," 12,321 "," 9,797 "," 5,364 "," 3,389 "," 2,965 "," 2,149 "," 1,146 ", 534 , 176 , 46 
