 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國108年底 ,,,,,,,,,,,,,, 中華民國108年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 女 ," 1,431,097 "," 10,025 "," 52,991 "," 11,659 "," 12,862 "," 14,070 "," 14,400 "," 66,125 "," 63,369 "," 77,261 "," 93,310 "," 98,702 "," 100,187 "," 124,569 "," 122,548 "," 110,060 "," 111,576 "," 108,896 "," 94,726 "," 77,894 "," 43,291 "," 32,960 "," 23,304 "," 12,796 "," 5,175 "," 1,160 ", 172 
, 計 ," 1,880,906 "," 11,366 "," 60,374 "," 12,863 "," 14,729 "," 15,809 "," 16,973 "," 77,908 "," 77,848 "," 94,492 "," 115,928 "," 126,324 "," 129,035 "," 159,138 "," 157,870 "," 137,813 "," 146,551 "," 152,887 "," 137,425 "," 110,376 "," 63,440 "," 50,425 "," 37,669 "," 22,917 "," 9,051 "," 1,861 ", 208 
 臺 南 市 , 男 ," 937,342 "," 5,869 "," 31,323 "," 6,646 "," 7,597 "," 8,287 "," 8,793 "," 40,393 "," 40,442 "," 49,194 "," 60,508 "," 65,395 "," 66,337 "," 79,380 "," 78,902 "," 67,484 "," 72,241 "," 75,736 "," 68,258 "," 54,136 "," 29,886 "," 22,404 "," 15,747 "," 9,262 "," 3,708 ", 666 , 71 
, 女 ," 943,564 "," 5,497 "," 29,051 "," 6,217 "," 7,132 "," 7,522 "," 8,180 "," 37,515 "," 37,406 "," 45,298 "," 55,420 "," 60,929 "," 62,698 "," 79,758 "," 78,968 "," 70,329 "," 74,310 "," 77,151 "," 69,167 "," 56,240 "," 33,554 "," 28,021 "," 21,922 "," 13,655 "," 5,343 "," 1,195 ", 137 
, 計 ," 2,773,198 "," 18,447 "," 87,144 "," 20,163 "," 21,112 "," 22,406 "," 23,463 "," 110,173 "," 112,663 "," 142,342 "," 173,596 "," 186,803 "," 183,802 "," 227,516 "," 238,276 "," 217,608 "," 217,521 "," 216,553 "," 202,302 "," 176,203 "," 101,248 "," 73,679 "," 47,777 "," 25,981 "," 11,023 "," 2,270 ", 271 
 高 雄 市 , 男 ," 1,369,850 "," 9,532 "," 45,265 "," 10,444 "," 11,008 "," 11,597 "," 12,216 "," 57,037 "," 58,640 "," 74,121 "," 89,759 "," 97,224 "," 93,889 "," 112,838 "," 117,150 "," 106,646 "," 107,323 "," 104,927 "," 95,729 "," 82,264 "," 46,625 "," 32,923 "," 19,716 "," 11,575 "," 5,502 "," 1,049 ", 116 
, 女 ," 1,403,348 "," 8,915 "," 41,879 "," 9,719 "," 10,104 "," 10,809 "," 11,247 "," 53,136 "," 54,023 "," 68,221 "," 83,837 "," 89,579 "," 89,913 "," 114,678 "," 121,126 "," 110,962 "," 110,198 "," 111,626 "," 106,573 "," 93,939 "," 54,623 "," 40,756 "," 28,061 "," 14,406 "," 5,521 "," 1,221 ", 155 
, 計 ," 7,067,708 "," 47,856 "," 218,911 "," 50,252 "," 53,403 "," 56,948 "," 58,308 "," 289,636 "," 306,728 "," 394,950 "," 474,533 "," 488,291 "," 461,035 "," 556,257 "," 563,189 "," 518,989 "," 542,480 "," 552,300 "," 491,602 "," 401,025 "," 244,258 "," 211,173 "," 161,670 "," 95,210 "," 38,363 "," 8,162 "," 1,090 "
 臺 灣 省 , 男 ," 3,596,501 "," 24,956 "," 113,349 "," 25,988 "," 27,716 "," 29,395 "," 30,250 "," 150,520 "," 160,608 "," 207,302 "," 247,827 "," 257,157 "," 242,413 "," 284,050 "," 285,592 "," 265,442 "," 283,849 "," 286,771 "," 250,292 "," 198,368 "," 115,891 "," 95,883 "," 69,102 "," 38,489 "," 15,227 "," 3,001 ", 412 
, 女 ," 3,471,207 "," 22,900 "," 105,562 "," 24,264 "," 25,687 "," 27,553 "," 28,058 "," 139,116 "," 146,120 "," 187,648 "," 226,706 "," 231,134 "," 218,622 "," 272,207 "," 277,597 "," 253,547 "," 258,631 "," 265,529 "," 241,310 "," 202,657 "," 128,367 "," 115,290 "," 92,568 "," 56,721 "," 23,136 "," 5,161 ", 678 
