 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國108年底 ,,,,,,,,,,,,,, 中華民國108年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 女 ," 137,896 ", 791 ," 4,203 ", 872 , 934 ," 1,188 "," 1,209 "," 5,907 "," 6,314 "," 7,723 "," 9,155 "," 8,687 "," 8,347 "," 10,645 "," 11,482 "," 10,742 "," 10,917 "," 10,474 "," 9,324 "," 7,993 "," 5,086 "," 4,153 "," 3,188 "," 1,841 ", 742 , 156 , 26 
, 計 ," 153,274 "," 1,223 "," 4,496 "," 1,224 "," 1,147 "," 1,101 "," 1,024 "," 4,465 "," 4,214 "," 7,190 "," 12,173 "," 12,811 "," 11,194 "," 11,425 "," 11,041 "," 11,632 "," 13,402 "," 14,509 "," 12,774 "," 8,268 "," 4,232 "," 3,216 "," 2,534 "," 1,531 ", 649 , 234 , 61 
 福 建 省 , 男 ," 77,511 ", 627 ," 2,343 ", 624 , 594 , 591 , 534 ," 2,340 "," 2,204 "," 3,750 "," 6,185 "," 6,486 "," 5,702 "," 5,674 "," 5,368 "," 5,945 "," 6,798 "," 7,387 "," 6,661 "," 4,216 "," 2,141 "," 1,592 "," 1,205 ", 637 , 174 , 56 , 20 
, 女 ," 75,763 ", 596 ," 2,153 ", 600 , 553 , 510 , 490 ," 2,125 "," 2,010 "," 3,440 "," 5,988 "," 6,325 "," 5,492 "," 5,751 "," 5,673 "," 5,687 "," 6,604 "," 7,122 "," 6,113 "," 4,052 "," 2,091 "," 1,624 "," 1,329 ", 894 , 475 , 178 , 41 
, 計 ," 140,185 "," 1,085 "," 4,012 "," 1,086 "," 1,024 ", 988 , 914 ," 3,995 "," 3,766 "," 6,579 "," 11,248 "," 11,664 "," 10,238 "," 10,373 "," 10,047 "," 10,554 "," 12,358 "," 13,413 "," 11,704 "," 7,629 "," 3,844 "," 3,032 "," 2,363 "," 1,424 ", 594 , 209 , 54 
 金 門 縣 , 男 ," 70,010 ", 552 ," 2,073 ", 551 , 523 , 524 , 475 ," 2,102 "," 1,963 "," 3,400 "," 5,644 "," 5,820 "," 5,149 "," 5,082 "," 4,818 "," 5,301 "," 6,160 "," 6,725 "," 6,030 "," 3,825 "," 1,942 "," 1,484 "," 1,115 ", 605 , 154 , 49 , 17 
, 女 ," 70,175 ", 533 ," 1,939 ", 535 , 501 , 464 , 439 ," 1,893 "," 1,803 "," 3,179 "," 5,604 "," 5,844 "," 5,089 "," 5,291 "," 5,229 "," 5,253 "," 6,198 "," 6,688 "," 5,674 "," 3,804 "," 1,902 "," 1,548 "," 1,248 ", 819 , 440 , 160 , 37 
, 計 ," 13,089 ", 138 , 484 , 138 , 123 , 113 , 110 , 470 , 448 , 611 , 925 ," 1,147 ", 956 ," 1,052 ", 994 ," 1,078 "," 1,044 "," 1,096 "," 1,070 ", 639 , 388 , 184 , 171 , 107 , 55 , 25 , 7 
 連 江 縣 , 男 ," 7,501 ", 75 , 270 , 73 , 71 , 67 , 59 , 238 , 241 , 350 , 541 , 666 , 553 , 592 , 550 , 644 , 638 , 662 , 631 , 391 , 199 , 108 , 90 , 32 , 20 , 7 , 3 
, 女 ," 5,588 ", 63 , 214 , 65 , 52 , 46 , 51 , 232 , 207 , 261 , 384 , 481 , 403 , 460 , 444 , 434 , 406 , 434 , 439 , 248 , 189 , 76 , 81 , 75 , 35 , 18 , 4 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,內政部戶政司 編製
          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
