 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國99年底 ,,,,,,,,,,,,,, 中華民國99年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,162,123 "," 157,282 "," 806,811 "," 194,878 "," 199,174 "," 205,877 "," 206,882 "," 1,158,304 "," 1,501,914 "," 1,608,154 "," 1,586,737 "," 1,886,699 "," 2,029,110 "," 1,791,704 "," 1,862,445 "," 1,904,868 "," 1,780,392 "," 1,572,529 "," 1,027,281 "," 736,850 "," 648,886 "," 497,209 "," 364,105 "," 173,270 "," 53,396 "," 12,066 "," 2,111 "
 總　　計 , 男 ," 11,635,225 "," 82,126 "," 421,274 "," 101,439 "," 104,093 "," 107,613 "," 108,129 "," 605,233 "," 782,666 "," 836,734 "," 821,067 "," 953,304 "," 1,012,113 "," 889,468 "," 932,140 "," 952,466 "," 883,709 "," 773,674 "," 500,740 "," 351,553 "," 298,770 "," 234,614 "," 188,509 "," 85,006 "," 23,822 "," 5,201 "," 1,036 "
, 女 ," 11,526,898 "," 75,156 "," 385,537 "," 93,439 "," 95,081 "," 98,264 "," 98,753 "," 553,071 "," 719,248 "," 771,420 "," 765,670 "," 933,395 "," 1,016,997 "," 902,236 "," 930,305 "," 952,402 "," 896,683 "," 798,855 "," 526,541 "," 385,297 "," 350,116 "," 262,595 "," 175,596 "," 88,264 "," 29,574 "," 6,865 "," 1,075 "
, 計 ," 3,897,367 "," 25,673 "," 132,824 "," 32,185 "," 32,804 "," 33,665 "," 34,170 "," 187,970 "," 239,802 "," 271,405 "," 276,372 "," 335,910 "," 369,383 "," 319,068 "," 319,746 "," 333,467 "," 316,856 "," 277,190 "," 169,368 "," 107,886 "," 82,173 "," 57,651 "," 43,469 "," 21,746 "," 7,089 "," 1,817 ", 502 
 新 北 市 , 男 ," 1,935,668 "," 13,403 "," 69,411 "," 16,780 "," 17,241 "," 17,527 "," 17,863 "," 98,366 "," 124,163 "," 141,356 "," 142,746 "," 169,932 "," 184,252 "," 158,294 "," 155,414 "," 158,818 "," 150,351 "," 131,946 "," 81,242 "," 51,526 "," 37,053 "," 27,666 "," 23,652 "," 11,430 "," 3,487 ", 879 , 281 
, 女 ," 1,961,699 "," 12,270 "," 63,413 "," 15,405 "," 15,563 "," 16,138 "," 16,307 "," 89,604 "," 115,639 "," 130,049 "," 133,626 "," 165,978 "," 185,131 "," 160,774 "," 164,332 "," 174,649 "," 166,505 "," 145,244 "," 88,126 "," 56,360 "," 45,120 "," 29,985 "," 19,817 "," 10,316 "," 3,602 ", 938 , 221 
, 計 ," 2,618,772 "," 18,631 "," 90,620 "," 22,344 "," 22,544 "," 23,384 "," 22,348 "," 117,435 "," 157,088 "," 159,227 "," 152,955 "," 184,961 "," 209,349 "," 199,682 "," 214,863 "," 219,681 "," 216,782 "," 204,419 "," 141,173 "," 95,816 "," 80,642 "," 62,642 "," 51,249 "," 28,708 "," 9,802 "," 2,544 ", 503 
 臺 北 市 , 男 ," 1,262,554 "," 9,705 "," 46,953 "," 11,532 "," 11,728 "," 12,056 "," 11,637 "," 61,453 "," 81,821 "," 83,019 "," 78,499 "," 91,213 "," 97,377 "," 90,676 "," 98,046 "," 102,598 "," 101,516 "," 96,729 "," 66,221 "," 43,587 "," 35,148 "," 29,181 "," 26,949 "," 15,192 "," 5,102 "," 1,282 ", 287 
